name,price,item_id,category,description
Versace Men's VE4275 - GB1/87 Square Polarized Sunglasses - Black,$79.99,24121032875,Sunglasses,"['Brand:Versace', ""Department:Men's"", 'Type:Sunglasses', 'Frame Color:Black', 'Model:VE4275 - GB1/87', 'Style:Square', 'Lens Technology:Polarized', 'Lens Color:Gray', 'Lens Material:Plastic', 'MPN:VE4275 - GB1/87']"
Gucci 547751 Black Men's Night Courrier Messenger Bag 4276,$799.99,23522044276,Bags,"['Brand:Gucci', 'Material:Canvas', 'Style:Messenger Bag', ""Department:Men's"", 'Color:Black', 'Model:Night Courrier', 'MPN:547751']"
Louis Vuitton Monogram Savane Pochette Voyage MM - Chapman Brothers 4252,$1399.99,23522044252,Women's Bags & Handbags,"['Brand:Louis Vuitton', 'Exterior Material:Canvas', 'Style:Pochette Voyage MM', 'Exterior Color:Navy Blue', 'Department:Women', 'Lining Color:Navy Blue', 'Model:Pochette Voyage MM']"
Saint Laurent YSL Ladies Handbag Black Gold Accents,$1449.99,23121033714,Women's Bags & Handbags,"['Brand:Saint Laurent', 'Exterior Material:Leather', 'Style:Shoulder Bag', 'Exterior Color:Black', 'Department:Women', 'Lining Color:Black', 'Size:Small', 'Handle/Strap Material:Metal', 'Handle/Strap Color:Gold', 'Hardware Color:Gold', 'Pattern:Solid', 'Vintage:No', 'Model:YSL', 'Country/Region of Manufacture:Paris', 'Handle Style:Shoulder Strap', 'Handmade:No', 'Personalize:No', 'MPN:YSL']"
JORDAN 12 CT8013-116 RETRO 2023 MID CHERRY - Men's US 11/UK 10,$199.99,24123027031,Athletic Shoes,"['Brand:JORDAN', 'US Shoe Size:11', 'Style:Mids', 'Color:Cherry', ""Department:Men's"", 'Type:Athletic', 'Style Code:CT8013-116', 'Model:12 Retro']"
Michael Kors 35T7GTVE7L Jet Set Travel Large Pebbled Leather Wristlet,$69.99,24121002897,Women's Bags & Handbags,"['Brand:Michael Kors', 'Exterior Material:Pebbled Leather', 'Style:Wristlet', 'Exterior Color:Navy', 'Department:Women', 'Lining Color:Tan', 'Handle/Strap Material:Leather', 'Handle/Strap Color:Navy', 'Lining Material:Polyester', 'Hardware Color:Gold', 'Closure:Zip', 'Model:35T7GTVE7L', 'MPN:35T7GTVE7L']"
Ray-Ban RB2205 BILL ONE Polished Havana Brown Sunglasses,$69.99,24123027051,Sunglasses,"['Brand:Ray-Ban', 'Type:Sunglasses', ""Department:Women's"", 'Frame Color:Brown', 'Style:Irregular', 'Lens Color:Brown', 'Frame Material:Acetate', 'MPN:RB2205', 'Model:RB2205']"
Coach J2121 Track Pack in Colorblock Signature Canvas Crossbody Bag,$109.99,24121032843,Bags,"['Brand:Coach', 'Material:Leather', 'Style:Crossbody', ""Department:Men's"", 'Color:Multi-Color', 'Model:J2121']"
Michael Kors Charlotte Large Logo and Leather Top-Zip Tote Bag,$49.99,25123048122,Women's Bags & Handbags,"['Brand:Michael Kors', 'Exterior Material:Coated Canvas', 'Style:Tote Bag', 'Exterior Color:Vanilla/Brown', 'Department:Women', 'Product Line:Michael Kors', 'Size:Large', 'Handle/Strap Material:Leather', 'Handle/Strap Color:Brown', 'Hardware Color:Gold', 'Closure:Zip', 'Model:Charlotte', 'MPN:Does Not Apply', 'Strap Drop:10""']"
Louis Vuitton M82252 S-Lock Vertical Wearable Wallet,$1599.99,23522044173,Wallets,"['Brand:Louis Vuitton', 'Type:Pouch Wallet', 'Department:Men', 'Color:Black', 'MPN:M82252 S-Lock Vertical Wearable Wallet']"
