name,price,item_id,category,description
Arcade 1Up 7985 Star Wars 3-In-One Arcade Video Game Console Local Pickup Only,$199.99,23121034722,Video Arcade Machines,Brand:Arcade1up Game Title:Star Wars
Sabersmith Hand And A Half Sword - 3427,$349.99,23522043427,Medieval,Style:Medieval
DC Direct Cover Girls Frank Cho Harley Quinn Collectors Figurine - 0592 of 5000,$199.99,23522042635,Funko,Type:Collectable Figurine Franchise:DC Comics Brand:DC Direct Character:Harley Quinn Featured Person/Artist:Frank Cho Theme:Comics Collection:Comics Production Run:5000 Box Number:0592
My American Girl 8+ Interactive Doll G1934,$139.99,23421037541,Funko,Type:My American Girl MPN:Does Not Apply Model:G1934 Color:Multicolor Age Level:8+
"Muela Ruko GRED-12A Genuine Deer Horn Handle SS 4-5/8"" Clip-Point Hunting Knife",$69.99,25123047841,Factory Manufactured,"Brand:Muela Ruko Type:Hunting Blade Type:Clip Point Blade Length:4-5/8"" Handle Material:Genuine Deer Horn Blade Material:Stainless Steel Blade Edge:Plain Features:Sheath Included Dexterity:Ambidextrous"
Case XX Knives USA-Made Kodiak Hunter Sportsman's Fixed-Blade Knife,$249.99,24322047298,Factory Manufactured,Brand:Case XX Knives Blade Type:Fixed Original/Reproduction:Reproduction Country/Region of Manufacture:United States
Buck 110E Folding Hunter Standard Handle Knife,$49.99,24321035420,Factory Manufactured,Brand:Buck Model:110E Type:Folding Knife Opening Mechanism:Manual Color:Silver
Mac Tools BHFM1719PA 5 Piece High Performance Long Double Box Wrench Set,$139.99,23223038688,Mechanics,Brand:Mac Tools
"X-Man #28 Volume 1 (Marvel Comics, 1997) Graded Comic Book - CGC 9.2",$39.99,24223020520,Comics & Graphic Novels,Series Title:X-Man Publication Year:1997 Era:Modern Age (1992-Now) Format:Single Issue Publisher:Marvel Comics Type:Comic Book Artist/Writer:Terry Kavanagh/Roger Cruz/Bud LaRosa Grade:9.2 Near Mint- Tradition:US Comics Professional Grader:Certified Guaranty Company (CGC) Certification Number:1626852001 Unit of Sale:Single Unit Language:English Issue Number:#28
"Witchblade #9 (Image/Top Cow, 1996) Variant Cover Graded Comic Book - CGC 9.6",$39.99,24223020523,Comics & Graphic Novels,Series Title:Witchblade Publication Year:1996 Era:Modern Age (1992-Now) Format:Single Issue Features:Variant Cover Publisher:Image/Top Cow Comics Type:Comic Book Artist/Writer:Christina Zanier/David Wohl/Tony Daniel Grade:9.6 Near Mint+ Tradition:US Comics Professional Grader:Certified Guaranty Company (CGC) Certification Number:0273592016 Unit of Sale:Single Unit Language:English Issue Number:#9
Cyblade/Shi: The Battle for Independents #1 (1995) Comic Book - CGC 9.2,$39.99,24223020521,Comics & Graphic Novels,Series Title:Cyblade/Shi: The Battle for Independents Publication Year:1995 Era:Modern Age (1992-Now) Format:Single Issue Publisher:Crusade-Image Comics Type:Comic Book Artist/Writer:Brian Haberlin/David Wohl/Mark Silvestri/Matt Banning Grade:9.2 Near Mint- Tradition:US Comics Professional Grader:Certified Guaranty Company (CGC) Certification Number:2051981011 Unit of Sale:Single Unit Language:English Issue Number:#1
"Lady Death Swimsuit Special #1 (Chaos!, 1994) Red Velvet Comic Book - CGC 9.6",$59.99,24223020522,Comics & Graphic Novels,Series Title:Lady Death Swimsuit Special Publication Year:1994 Era:Modern Age (1992-Now) Format:Single Issue Publisher:Chaos! Comics Type:Comic Book Grade:9.6 Near Mint+ Tradition:US Comics Professional Grader:Certified Guaranty Company (CGC) Certification Number:0025535019 Unit of Sale:Single Unit Variant Type:Red Velvet Premium Edition Issue Number:#1
Cyblade/Shi: The Battle for Independents #1 (1995) Variant Comic Book - CGC 9.2,$99.99,24223020515,Comics & Graphic Novels,Series Title:Cyblade/Shi: The Battle for Independents Publication Year:1995 Era:Modern Age (1992-Now) Format:Single Issue Features:Variant Cover Publisher:Crusade-Image Comics Type:Comic Book Artist/Writer:Brian Haberlin/David Wohl/Marc Silvestri Grade:9.2 Near Mint- Tradition:US Comics Professional Grader:Certified Guaranty Company (CGC) Certification Number:1995932006 Cover Artist:William Tucci Unit of Sale:Single Unit Issue Number:#1
Hitmonchan [1999-2000] #7 Pokemon Base Set GCG 9 Mint Trading Card,$49.99,25121043127,Trading Card Singles,Franchise:Pokemon Graded:Yes Set:Base Set Character:Hitmonchan Grade:9 Professional Grader:CGC Card Number:#7 Card Name:Hitmonchan [1999-2000] #7
LLADRO Porcelain Sculpture Spring Girl Figurine,$49.99,25523046739,Sculptures & Figurines,Type:Sculpture Brand:LLADRO Material:Porcelain Color:Multi Color
