name,price,item_id,category,description
Jackson Surfcaster Right Hand 6 String Electric Guitar,$799.99,25521049508,Electric Guitars,"['Brand:Jackson', 'Type:Electric Guitar', 'Model:Surfcaster', 'Body Color:Blonde', 'Handedness:Right-Handed', 'String Configuration:6 String', 'Neck Material:Maple']"
Jackson Soloist SL3 Right Hand 6 String Electric Guitar Natural Flame Maple,$999.99,25521049509,Electric Guitars,"['Brand:Jackson', 'Type:Electric Guitar', 'Model:SL3', 'Body Color:Natural Maple Flame', 'Handedness:Right-Handed', 'Body Type:Solid', 'String Configuration:6 String', 'Fretboard Material:Rosewood']"
Mackie ProFX6v3 6-Channel Professional Effects Mixer 4224,$99.99,23522044224,Other Pro Audio Equipment,"['Brand:MAckie', 'MPN:ProFX6v3', 'Model:Professional Effects Mixer']"
Behringer EuroPower PMP550M 5-Channel 500W Powered Mixer Black,$139.99,23121035201,Live & Studio Mixers,"['Brand:Behringer', 'Type:Powered Mixer', 'Number of Channels:5', 'MPN:PMP550M', 'Model:PMP550M']"
Xvive U4T9 Complete Pro Audio In-Ear Monitor Wireless System,$279.99,23121035195,Microphones & Wireless Systems,"['Brand:XVIVE', 'Form Factor:Earset Microphone', 'Connectivity:Wireless', 'Transducer Type:Dynamic', 'Model:Xvive U4T9', 'Features:Compact and Lightweight Design', 'Suitable For:Live Performance', 'MPN:U4T9']"
"AKG Perception 100 1"" Diaphragm Cardioid Condenser Microphone",$69.99,23222055971,Microphones & Wireless Systems,"['Brand:AKG', 'Form Factor:Condenser', 'Model:Perception 100', 'Diaphragm Size:25mm', 'MPN:Perception 100', 'Maximum SPL:135 dB', 'Color:Silver', 'Polar Pattern:Cardioid']"
Tascam Mini Studio Porta 02 MKII 4-Track Blue Cassette Recorder 1900,$99.99,23623044577,Recorders,"['Brand:TASCAM', 'Type:Cassette Recorder', 'Features:Wired', 'Form Factor:Desktop', 'Model:Mini Studio Porta 02 MKII']"
C.G. Conn 52H Artist Tenor Trombone Made In The USA,$1059.99- $953.98,23122020610,Trombones,"['Brand:C.G. Conn', 'Instrument:Trombone', 'Type:Tenor', 'MPN:52H', 'Color:Gold', 'Set Includes:Case']"
RØDE NT1GEN5B NT1 5th Generation Studio Condenser Microphone,$109.99,23223038064,Microphones & Wireless Systems,"['Brand:RØDE', 'Form Factor:Microphone', 'Connectivity:XLR - USB', 'Transducer Type:Condenser', 'Model:NT1GEN5B', 'Features:Dual Connect (XLR & USB)', 'Diaphragm Size:1 Inch', 'Suitable For:Studio Recording', 'MPN:NT1GEN5B', 'Color:Black', 'Polar Pattern:Cardioid']"
TC Electronic BH800 800-Watt TonePrint Effects Intelligent EQ Portable Bass Head,$649.99,25121041707,Guitar Amplifiers,"['Brand:TC Electronic', 'Amplifier Type:Head', 'MPN:Does Not Apply', 'Model:BH800']"
Keeley Halo Andy Timmons Dual Echo Electric Guitar Pedal,$199.99,23721048336,"Delay, Echo & Reverb","['Type:Dual Echo Pedal', 'Brand:Keeley', 'Analog/Digital:Analog', 'To Fit:Electric Guitar', 'MPN:KHALOB12', 'Model:Halo']"
Warwick F.N.A. Corvette 5-String Right Handed Bass Guitar,$1699.99,23423044156,Bass Guitars,"['Brand:Warwick', 'Type:Bass Guitar', 'String Configuration:5 string', 'Model:FNA', 'Body Type:Solid Body', 'Handedness:Right-Handed', 'Body Color:Red', 'Set Includes:Travel Case']"
Tech 21 Fly Rig 5 v2 Multi-effects Electric Guitar Pedal,$169.99,23721048967,Multi-Effects,"['Brand:Tech 21', 'Type:Multi-effects Pedal', 'To Fit:Electric Guitar', 'Analog/Digital:Analog', 'MPN:FL5-V2', 'Model:Fly Rig 5 V2', 'Country/Region of Manufacture:United States', 'Custom Bundle:No']"
Novation Launchkey 25 MK3 25-key Keyboard Controller,$129.99,23722036102,MIDI Keyboards & Controllers,"['Brand:Novation', 'Type:Keyboard Controller', 'Number of Keys:25', 'Features:Rotary Encoders', 'Input/Output Ports:USB Out', 'MPN:N/A', 'Model:Black / White']"
Line 6 FBV 3 Pro Amplifier Foot Controller,$149.99,23722036328,Multi-Effects,"['Brand:Line 6', 'Type:Amplifier Foot Controller', 'MPN:99-040-2805', 'Model:FBV 3 Pro']"
"Fender Mustang LT40S 2 x 4"" 40-watt Combo Amp",$149.99,23721048331,Guitar Amplifiers,"['Brand:Fender', 'Amplifier Type:Combo', 'Number of Speakers:2', 'Number of Channels:1', 'Suitable For:Electric Guitar', 'MPN:LT40S', 'Model:Mustang LT40S']"
Epiphone Flying V Prophecy 6-String Electric Guitar - EIVYBAGBNH1,$729.99,23721049051,Electric Guitars,"['Brand:Epiphone', 'Type:Electric Guitar', 'Series:Flying V', 'Model:Flying V Prophecy', 'Body Color:Black', 'Handedness:Right-Handed', 'Body Type:Solid', 'String Configuration:6-String', 'Number of Frets:24', 'Body Material:Mahogany', 'Fretboard Material:Ebony', 'Neck Material:Mahogany', 'MPN:EIVYBAGBNH1']"
Logitech 988-000100 Blue Yeti Premium Multi-Platform USB Microphone,$59.99,23421037735,Microphones & Wireless Systems,"['Brand:Logitech', 'Form Factor:Microphone', 'Connectivity:USB', 'Model:988-000100', 'Color:Black', 'Polar Pattern:Multi-Pattern']"
Alvarez RD20S Acoustic Guitar Spruce Top - Rosewood Fingerboard,$99.99- $84.97,24122030137,Acoustic Guitars,"['Brand:Alvarez', 'Type:Acoustic', 'Number of Frets:20', 'Model:RD20S', 'Body Type:Dreadnought', 'String Configuration:6 String', 'Body Material:Mahogany', 'Handedness:Left', 'Body Color:Brown', 'Fretboard Material:Rosewood', 'Neck Material:Mahogany', 'MPN:RD20S']"
Bose S1 Pro+ 436469 Wireless Bluetooth Portable PA Speaker System,$489.99,23222056358,Speakers,"['Brand:Bose', 'Type:Speaker', 'Model:436469', 'Connectivity:Bluetooth', 'Color:Black', 'MPN:436469']"
"QSC K10.2 2000W 10-Inch Powered PA Speaker - 1.4"" High-frequency Driver",$429.99,24121032252,Speakers & Monitors,"['Type:PA Speaker', 'Brand:QSC', 'Connectivity:Wired', 'Model:K102.2', 'Color:Black', 'Driver Size:10""', 'MPN:K102.2']"
Shure MV7X  XLR Podcast Microphone - Pro Quality Dynamic Mic,$99.99,25523046611,Microphones & Wireless Systems,"['Brand:Shure', 'Form Factor:Dynamic Microphone', 'Connectivity:XLR', 'Model:MV7X', 'Suitable For:Studio Recording', 'Color:Black']"
Marshall MG MG100DFX 2-Channel 100-Watt 1x12 Solid State Guitar Combo,$309.99- $278.98,24121030898,Guitar Amplifiers,"['Brand:Marshall', 'Amplifier Type:Solid State', 'Number of Speakers:1', 'Number of Channels:2', 'Power:100W', 'MPN:MG100DFX', 'Model:MG100DFX', 'Venue Type:Performance']"
Shure SM7B 3-Pin XLR Studio/Broadcast Corded Vocal Dynamic Microphone,$249.99,25523046612,Microphones & Wireless Systems,"['Brand:Shure', 'Form Factor:Dynamic Microphone', 'Connectivity:Wired', 'Transducer Type:Dynamic', 'Model:SM7B', 'Color:Black', 'Polar Pattern:Cardioid']"
RODE RODECaster Pro 4 All in One Audio Interface,$349.99,25523046614,Audio/MIDI Interfaces,"['Brand:Rode', 'Type:USB Audio Interface', 'Model:RODECaster Pro', 'Suitable For:Studio/Recording']"
Pro Co RAT 2 Distortion Overdrive Electric Guitar Pedal,$49.99,24521053000,Distortion & Overdrive,"['Brand:Pro Co', 'Type:Overdrive', 'To Fit:Electric Guitar', 'Analog/Digital:Analog', 'MPN:RAT2', 'Model:Pro Co RAT 2']"
Shure SM7B 3-Pin XLR Studio/Broadcast Corded Vocal Dynamic Microphone,$249.99,25523046613,Microphones & Wireless Systems,"['Brand:Shure', 'Form Factor:Dynamic Microphone', 'Connectivity:Wired', 'Transducer Type:Dynamic', 'Model:SM7B', 'Color:Black', 'Polar Pattern:Cardioid']"
MXR M234 Analog Chorus Pedal,$74.99,25223040527,Chorus,"['Brand:MXR', 'Type:Chorus', 'Analog/Digital:Analog', 'To Fit:Electric Guitar', 'Model:M234']"
Fender 2013 Classic Player Jazzmaster Special Electric Guitar - Black 1629,$849.99,23521011629,Electric Guitars,"['Brand:Fender', 'Type:Electric Guitar', 'Series:Classic Player', 'Model:Classic Player Jazzmaster Special', 'Body Color:Black']"
Yamaha YAS-23 Standard Eb Alto Saxophone,$299.99,23723035587,Saxophones,"['Brand:Yamaha', 'Instrument:Saxophone', 'Type:Alto Saxophone', 'Body Material:Brass', 'Color:Gold', 'Country/Region of Manufacture:Japan', 'MPN:YAS-23', 'Key:Eb', 'Key Type:Closed Hole']"
Gibson SG Standard Electric Guitar - Heritage Cherry 0966,$1299.99,23522040966,Electric Guitars,"['Brand:Gibson', 'Type:Electric Guitar', 'Series:Standard', 'Model:SG Standard', 'Body Color:Cherry']"
