name,price,item_id,category,description
Aimpoint Electronic Mark III Parallax-Free Shock-Proof Water-Proof Red Dot Sight,$139.99,25121043502,Red Dot & Laser,Type:Red Dot Sight Brand:Aimpoint Electronic Reticle Color:Red Color:Black For Gun Type:Rifle Model:Mark III MPN:Does Not Apply
Garmin ECHOMAP UHD 73cv Panoptix PS22 Ice Fishing Bundle,$799.99,24523036764,Fishfinders,Brand:Garmin Type:System with Transducer Sensors:Sonar Display Size:7 in Sport/Activity:Fishing Display Resolution:800 x 480 Material:Plastic Power Source:Battery Indoor/Outdoor:Outdoor Color:Black MPN:010-02334-20 Model:Garmin Panoptix PS22
Vortex Optics Diamondback Tactical 4-12x40 VMR-1 Reticle 1/4 MOA Riflescope,$199.99,25121043517,Rifle Scopes,Brand:Vortex Optics Type:Riflescope For Gun Type:Rifle Maximum Magnification:4-12x Reticle Type:VMR-1 Color:Black Objective Lens Diameter:40 mm Sport/Activity:Hunting Tube Diameter:1 in Reticle Color:Black Model:Diamondback Tactical 4-12x40 MPN:Does Not Apply Manufacturer Warranty:VIP Lifetime Warranty
Black Diamond .75 - 5 9pc Rock Climbing Cams Set 1119,$349.99,23551001119,Other Sporting Goods,Brand:Black Diamond MPN:Rock Climbing Cam Set
The SeeMore FGP Super Stroke 35'' Right-Handed Golf Club Putter,$69.99,24322047321,Golf Clubs,Brand:The SeeMore FGP Golf Club Type:Putter Handedness:Right-Handed
Buck Alpha Hunter 279T Folding Knife / Sheath,$49.99,23622034681,Folding Blade,Brand:Buck Knives Type:Folding Knife Handle Material:Steel & Rubber Blade Edge:Plane Blade Material:Stainless Steel Color:Black & Silver Model:Alpha Hunter 279T
"5.11 Tactical Tanto Fixed Blade 4.25"" Black Plain Surge Knife",$59.99,25121043493,Fixed Blade,Brand:5.11 Tactical Type:Hunting Knife MPN:Does Not Apply
Sig Sauer Romeo5 1x20mm Compact Tactical Red Dot Sight,$89.99,23723036552,Red Dot & Laser,Type:Dot Sight Brand:Sig Sauer Reticle Color:Red Color:Black Maximum Magnification:1x Reticle Type:2 MOA Dot Objective Lens Diameter:20 mm Model:Romeo5 MPN:SOR52001 Power Source:Battery
KWA KRISS Vector Gas Blowback Airsoft SMG Rifle,$399.99,23721048921,Rifle,Brand:KWA MPN:N/A Model:KRISS Vector
Leica Trinovid 8x42 BA Binoculars,$599.99,23723036401,Binoculars,Type:Binoculars Brand:Leica Maximum Magnification:8x Objective Lens Diameter:42 mm Features:Waterproof MPN:N/A Model:Trinovid 8x42 BA Linear Field of View:130/1000
Bushnell EX650 Digital Equinox Night Vision 5x 32mm Monocular,$99.99,23821048178,Night Vision,Type:Digital Monocular Brand:Bushnell Model:X650
Milwaukee 2012R LED Magnetic Headlamp/Task Light 450 Lumens 2827,$39.99,23823025980,Headlamps,Brand:Milwaukee Type:Headlamp Features:Waterproof Power Source:Battery Lighting Technology:LED Color:Red Model:2012R Lumens:450 Number of LEDs:2
Crossfire DG16 Frameset Long Range Patrol Pack 1642,$329.99,23523031642,Tactical Bags & Packs,Brand:Crossfire Type:Patrol Pack Color:Beige Model:DG16
GAMO Swarm Magnum 10X GEN3i INERTIA FED Black .22 Caliber 10-Shot Air Rifle 41B2,$189.99,23623044395,Air Rifles,Brand:GAMO MPN:Swarm Magnum 10X GEN3i Caliber:.22 Ammunition Type:Pellet Model:Swarm Magnum 10X GEN3i Velocity (fps):1300 FPS
MarCum VX-1P Pro Ice Fishing Sonar System 1883,$99.99,23523031883,Fishfinders,Brand:MarCum Type:Fish Finder Sensors:Sonar Power Source:Battery Color:Black MPN:VX-1P
Gamo Swarm Swarm Whisper .21 Caliber 4.5 / .177 10-Shot Break Barrel Air Rifle,$99.99,23623045207,Air Rifles,Brand:GAMO MPN:Swarm Whisper Caliber:.21 Caliber 4.5 / .177 Ammunition Type:Pellet Model:Swarm Whisper Velocity (fps):1300
Vortex Optics CF-RD2 Crossfire 2 MOA Red Dot Sight,$99.99,25223040350,Red Dot & Laser,Type:Red Dot Brand:Vortex Reticle Color:Red Color:Black For Gun Type:Rifle Features:Fully Multi Coated Reticle Type:2 MOA Dot Model:CF-RD2
