name,price,item_id,category,description
LEGO Technic 10+ Mars Perseverance NASA Mars Rover 1132 Piece Set 42158,$74.99,23421037244,LEGO Complete Sets & Packs,"['Brand:LEGO', 'Age Level:10+', 'Product Line (LEGO Theme):Technic', 'Model Theme:NASA Mars Rover', 'Packaging:Box', 'MPN:42158', 'Piece Count:1132']"
Diamond Select Toys Gallery Diorama Femme Fatales Lady Death 9'' PVC Figure,$79.99,24322046202,Action Figures,"['Type:PVC Diorama Figure', 'Franchise:Lady Death', 'Character:Lady Death', 'Brand:Lady Death']"
Traxxas EZ-Peak Plus 2970 4-Amp NiMH/LiPo Fast Charger 7006 / ID Auto Battery,$39.99,23623045110,Batteries,"['Brand:TRAXXAS', 'Model:EZ-Peak Plus 2970']"
"LEGO 10302 Icons Optimus Prime, Transformers Robot Model Set",$89.99,24121032781,LEGO Complete Sets & Packs,"['Brand:LEGO', 'Age Level:18+', 'Model Theme:Transformers', 'Packaging:Box', 'MPN:10302']"
"RCCA Elite 400417 Dale Earnhardt ""#3 Goodwrench Service Plus"" 1:24 Die-Cast Car",$99.99,24222024346,Sport & Touring Cars,"['Brand:RCCA', 'Scale:1:24', 'Driver:Dale Earnhardt', 'Organization:NASCAR', 'Vehicle Year:2000', 'Material:Diecast', 'Vehicle Make:Chevrolet', 'Color:Black', 'Vehicle Type:NASCAR Racecar', 'MPN:Does Not Apply']"
Mattel Mega Pokémon Motion Pikachu 12+ 1095 Piece Toy Set HGC23,$59.99,23421037670,Building Toys Sets & Packs,"['Brand:Mattel', 'Product Line:Pokémon', 'Character Family:Pokémon', 'Age Level:12+', 'MPN:HGC23', 'Number of Pieces:1095', 'Packaging:Box']"
Mattel Mega Pokémon Gyarados 12+ 2186 Piece Toy Set HGC24,$79.99,23421037669,Building Toys Sets & Packs,"['Brand:Mattel', 'Product Line:Pokémon', 'Age Level:12+', 'MPN:HGC24', 'Number of Pieces:2186', 'Packaging:Box']"
Crosman DPMS SBR C02 Powered 430 FPS 4.5MM BB Air Rifle,$119.99,24222025130,Dart Guns & Soft Darts,[]
Mondo Masters of the Universe: Trap Jaw 1/6 Scale Collectible Figure (In Box),$249.99,24223020607,Action Figures,"['Type:Collectible Action Figure', 'Franchise:Masters of the Universe', 'Character:Trap Jaw', 'Brand:Mondo', 'Series:Mondo One-Six', 'Scale:1:6', 'Model:Trap Jaw (Mini Comic)', 'MPN:Does Not Apply', 'Color:Green', 'Age Level:14+', 'Packaging:Original (Unopened)']"
Traxxas SSX23P108 Snap-on Tools Limited-Edition Rustler 4X4 RC Car,$479.99,23421037520,Remote-Controlled Toys,"['Brand:Traxxas', 'MPN:Does Not Apply', 'Toy Type:Car', 'Color:Black', 'Model:SSX23P108']"
LEGO Marvel Rise of The Domo 76156 Building Set 76156,$49.99,25425032826,LEGO Complete Sets & Packs,"['Type:Building Set', 'Brand:LEGO', 'Age Level:8+', 'LEGO Set Name:Rise of the Domo', 'LEGO Character:Thena', 'Features:Building Toy', 'MPN:6289082']"
Traxxas MC-40i Li-Po NIMh Battery Charger 2 Traxxas 11.1V RC Car Batteries,$149.99,23851000122,Batteries,"['Brand:Traxxas', 'Chemical Composition:LiPo', 'Number of Cells (S):3s', 'Voltage:11.1v', 'Capacity:5000', 'Compatible Scale:1:12', 'Model:2832X']"
Disney Lorcana: The First Chapter Illumineer's Trove The First Chapter Card Box,$249.99,25123047418,CCG Sealed Boxes,"[""Set:Illumineer's Trove"", 'Game:Disney Lorcana TCG', 'Features:Booster', 'Language:English', 'Manufacturer:Disney', 'Configuration:Box', 'MPN:4050368981745']"
LEGO 76419 Harry Potter Hogwarts Castle and Grounds 2660-Piece Construction Set,$119.99,24322044230,LEGO Complete Sets & Packs,"['Brand:LEGO', 'Age Level:18+', 'Product Line (LEGO Theme):Harry Potter', 'LEGO Character:Hogwarts Castle and Grounds', 'Model Theme:Harry Potter', 'Packaging:Box', 'MPN:76419', 'Year:2023', 'Piece Count:2660']"
LEGO 10304 Icons 1456-Piece Chevrolet Camaro Z/28 (1969) Construction Set,$99.99,24223020078,LEGO Complete Sets & Packs,"['Brand:LEGO', 'Age Level:18+', 'Product Line (LEGO Theme):Icons', 'Packaging:Box', 'MPN:Does Not Apply', 'Piece Count:1456']"
Traxxas LP EZ-Start Nitro Engine Remote Control Truck - Local Pick-Up Only,$229.99,24321035075,Other RC & Control Line,"['Brand:Traxxas', 'MPN:LP', 'Color:Blue', 'Model:N/A']"
LEGO Icons Pac-Man 10323 18+ 2651 Piece Set,$219.99,23423050757,LEGO Complete Sets & Packs,"['Brand:LEGO', 'Age Level:18+', 'LEGO Character:PAC-MAN', 'Packaging:Box', 'MPN:Does Not Apply', 'Custom Bundle:No', 'Piece Count:2651']"
HENG LONG 3818-1 Gray German Tiger I 1:16 Pro Ed. TK6.0 2.4Ghz RC Tank/Remote,$199.99,23622034682,Tanks & Military Vehicles,"['MPN:3818-1', 'Type:Tank', 'Scale:1:16', 'Color:Gray', 'Fuel Type:Electric', 'Model:3818-1']"
Mondo Masters of the Universe: Orko (Deluxe Edition) 1:6 Collectible Figure,$369.99,24223020606,Action Figures,"['Type:Collectible Action Figure', 'Franchise:Masters of the Universe', 'Character:Orko', 'Brand:Mondo', 'Series:Mondo One-Six', 'Scale:1:6', 'Model:Orko (Deluxe Edition)', 'MPN:Does Not Apply', 'Color:Black', 'Age Level:14+', 'Packaging:Original (Unopened)']"
LEGO 40568 Creator - Paris Postcard 213-Piece Construction Set (In Box),$39.99,24222024820,LEGO Complete Sets & Packs,"['Brand:LEGO', 'Age Level:9+', 'Product Line (LEGO Theme):Creator', 'Packaging:Box', 'MPN:Does Not Apply', 'Piece Count:213']"
Redcat CYCLONE XB10 1:10 RWD RTR Electric Radio Control Buggy Car - Blue,$129.99,24222024360,Other RC Model Vehicles & Kits,"['Brand:Redcat', 'MPN:Does Not Apply', 'Scale:1:10', 'Fuel Type:Electric', 'Color:Blue', 'Material:Plastic', 'Required Assembly:Ready to Go/RTR/RTF (All included)', 'Model Grade:Hobby Grade', 'Model:CYCLONE XB10']"
Hasbro Star Wars The Black Series Mandalorian Darksaber Elite Lightsaber Replica,$179.99- $159.99,24523035770,Action Figures,"['Type:Star Wars', 'Franchise:Star Wars: The Mandalorian', 'Brand:Hasbro', 'Material:Plastic', 'Model:Hasbro Darksaber', 'MPN:F1269', 'Color:Black', 'Genre:Horror & Sci-Fi', 'Country/Region of Manufacture:United States']"
Traxxas SSX23P108 Snap-on Tools Limited-Edition Rustler 4X4 BL-2S RC Car,$459.99,23624045948,Remote-Controlled Toys,"['Brand:Traxxas', 'MPN:SSX23P108', 'Toy Type:Car', 'Character Family:Raggedy Ann & Andy', 'Model:SSX23P108']"
Lionel 6-30012 Thomas & Friends Electric Train Expansion Pack - Missing Tracks,$109.99,24322046219,Freight Cars,"['Gauge:O', 'Type:Freight Car', 'Brand:Lionel', 'Color:Gray']"
Mondo 2023 Skeletor Masters of the Universe (GWT230727) 1/6-Scale Deluxe Figure,$349.99,24322045068,Action Figures,"['Type:Figure', 'Franchise:Masters of the Universe', 'Character:Skeletor', 'Brand:Mondo', 'Movie:Masters of the Universe', 'Series:Masters of the Universe', 'TV Show:Masters of the Universe', 'Scale:1/6', 'Model:Skeletor', 'MPN:GWT230727', 'Color:Blue', 'Country/Region of Manufacture:China', 'Age Level:14+', 'Packaging:Original (Opened)']"
Embodied Moxie 101300 for Kids Ages 5+ Artificial Intelligence Learning Robot,$479.99,25123046670,1970-Now,"['Brand:Embodied', 'Age Level:5+', 'MPN:Moxie 101300']"
Hess Toy Trucks 729071000435 Green & White 3IN1 Hess Flatbed Truck 0435/Hot Rods,$39.99,23622034179,Automotive,"['Brand:Hess', 'Set Includes:Truck']"
Horizon Hobby Vendetta 4x4 3S BLX RC 1/8th Scale 4WD Brushless Race Car Pick-Up,$259.99,24321033839,Other RC Model Vehicles & Kits,"['Brand:Horizon Hobby', 'MPN:Vendetta', 'Scale:1:8', 'Fuel Type:Electric', 'Color:Black', 'Required Assembly:Ready to Go/RTR/RTF (All included)', 'Vintage:No', 'Model:Vendetta 4x4 3S BLX']"
