name,price,item_id,category,description,image_url
Pamp Suisse 1 oz Fine Gold Lady Fortuna .9999 Fine Gold Bar Sealed,$2799.99,23421039194,Bars & Rounds,"['Shape:Bar', 'Precious Metal Content per Unit:1 oz', 'Brand/Mint:Pamp Suisse', 'Fineness:0.9999', 'Country/Region of Manufacture:Switzerland', 'Composition:Gold', 'Certificate Number:A142868']","['https://assets.pawnamerica.com/ProductImages//bbe29be7-e7c6-44c5-b9f1-680b0359b3e6.jpg', 'https://assets.pawnamerica.com/ProductImages//57bfa670-aca7-4439-9abc-9e8c89f01057.jpg', 'https://assets.pawnamerica.com/ProductImages//4e96c591-a672-490e-8179-063386649d3e.jpg', 'https://assets.pawnamerica.com/ProductImages//16fee786-d4f0-4985-a982-cb4916626e18.jpg', 'https://assets.pawnamerica.com/ProductImages//c378a327-a7db-49ea-8552-19fc4177944a.jpg']"
Pamp Suisse 1 oz Fine Gold Lady Fortuna .9999 Fine Gold Bar Sealed,$2739.99,23422056664,Bars & Rounds,"['Shape:Bar', 'Precious Metal Content per Unit:1 oz', 'Brand/Mint:Pamp Suisse', 'Fineness:0.9999', 'Country/Region of Manufacture:Switzerland', 'Composition:Gold', 'Certificate Number:215650']","['https://assets.pawnamerica.com/ProductImages//dc8d9626-581a-4796-bb8b-e65f1ce59ee2.jpg', 'https://assets.pawnamerica.com/ProductImages//e4791a1c-1270-4b7d-ad65-9b46cf69f6db.jpg', 'https://assets.pawnamerica.com/ProductImages//0d6a16b6-d0f4-4026-93bf-603824956162.jpg', 'https://assets.pawnamerica.com/ProductImages//5bc7322b-3443-4133-bbb9-a7ae0b2c64ca.jpg', 'https://assets.pawnamerica.com/ProductImages//1c0f440b-48b1-426e-95ac-0393362d4e78.jpg']"
2015 Canada 1/10 oz .999 Gold $5 First Special Service Force Elizabeth II Coin,$322.99,25426042716,Coins,"['Certification:Uncertified', 'Precious Metal Content per Unit:1/10 oz', 'Year:2015', 'Coin:Canadian Commemorative', 'Brand/Mint:Royal Canadian Mint', 'Fineness:0.999', 'Country/Region of Manufacture:Canada', 'Composition:Gold']","['https://assets.pawnamerica.com/ProductImages//a21eda87-5e0f-4d9c-b575-214aa41500b9.jpg', 'https://assets.pawnamerica.com/ProductImages//9ae415dc-09a1-47bd-bb9f-649f7fc819ef.jpg', 'https://assets.pawnamerica.com/ProductImages//b5cbfb9c-219e-469b-99c1-0e840fbacfb9.jpg', 'https://assets.pawnamerica.com/ProductImages//97233b80-e135-478d-8774-a9031009e1d7.jpg', 'https://assets.pawnamerica.com/ProductImages//8f521347-cafe-4e20-8f17-85e506092fe3.jpg']"
Valcambi Suisse 1 oz .9999 Fine Gold Minted Bar Certified Assayer Sealed,$2739.99,23422056662,Bars & Rounds,"['Shape:Bar', 'Precious Metal Content per Unit:1 oz', 'Brand/Mint:Valcambi', 'Fineness:0.9999', 'Country/Region of Manufacture:Switzerland', 'Composition:Gold', 'Certificate Number:AB 172406']","['https://assets.pawnamerica.com/ProductImages//ffb030af-ca08-4704-82e3-b81dc33d4c55.jpg', 'https://assets.pawnamerica.com/ProductImages//88cc3809-683b-42e7-8e6d-29ea56e3fcd3.jpg', 'https://assets.pawnamerica.com/ProductImages//65de3dd7-1d81-4835-99d6-41cbe23a2a62.jpg', 'https://assets.pawnamerica.com/ProductImages//a4e93f1d-3c92-4a9a-b66b-88ddc62d3e73.jpg', 'https://assets.pawnamerica.com/ProductImages//c1cbb560-c0db-4b84-ac59-dd12374f15e0.jpg']"
2016 Bigfoot Privy Canada $5 Maple Leaf Reverse Proof 1 oz Silver Coin NGC PF 69,$119.99,23423051314,Coins,"['Certification:NGC', 'Year:2016', 'Precious Metal Content per Unit:1 oz', 'Coin:Canadian Maple Leaf', 'Strike Type:Proof', 'Grade:PF 69', 'Brand/Mint:Royal Canadian Mint', 'Fineness:0.9999', 'Certification Number:4386519-488', 'Country/Region of Manufacture:Canada', 'Composition:Silver']","['https://assets.pawnamerica.com/ProductImages//d9bdc565-c3b0-4596-8de7-423c5ae80cfb.jpg', 'https://assets.pawnamerica.com/ProductImages//0ff22231-3549-4674-9537-5f06c2b5b1f7.jpg', 'https://assets.pawnamerica.com/ProductImages//39bcf29a-a60b-475a-9988-4bf8fec2f366.jpg', 'https://assets.pawnamerica.com/ProductImages//1d9278f8-152a-467c-bcc9-fe5250c33cce.jpg', 'https://assets.pawnamerica.com/ProductImages//d5d6257d-ce2f-4ff3-a6e0-4612f698ccca.jpg']"
1922 PDS $1 Silver Peace Dollar Liberty Perched Eagle Extra Fine Coin Boxed Set,$99.99,24915033724,Peace (1921-35),"['Certification:Uncertified', 'Circulated/Uncirculated:Uncirculated', 'Year:1922', 'Mint Location:San Francisco, Denver, Philadelphia', 'Fineness:0.9', 'Denomination:$1', 'Composition:Silver', 'Country/Region of Manufacture:United States', 'Coin:Peace', 'Note:Boxed set of 3 coins.']","['https://assets.pawnamerica.com/ProductImages//b41b13ff-ec0d-4822-9c83-a9c377f3e9da.jpg', 'https://assets.pawnamerica.com/ProductImages//fa9d30e1-02d1-40cf-86f3-6e7c76992296.jpg', 'https://assets.pawnamerica.com/ProductImages//427aabbc-88c3-45a7-a09f-b0634e4e0d71.jpg', 'https://assets.pawnamerica.com/ProductImages//e50d7383-2e0c-47fb-8809-c430d6c8dff6.jpg']"
American Reserve Columbian Goddess 1 oz .9999 Fine Gold Bar United States,$2799.99,25121047140,Bars & Rounds,"['Shape:Bar', 'Precious Metal Content per Unit:1 oz', 'Brand/Mint:Asahi', 'Fineness:0.9999', 'Country/Region of Manufacture:United States', 'Composition:Gold', 'Certificate Number:AMA001209']","['https://assets.pawnamerica.com/ProductImages//a3fc65ff-f3ac-4e9f-9aa4-d052f6337417.jpg', 'https://assets.pawnamerica.com/ProductImages//b4dd6f4d-a94a-477f-977d-6267aac4058f.jpg', 'https://assets.pawnamerica.com/ProductImages//c9842490-22de-4ca9-80f3-4f5eff250037.jpg', 'https://assets.pawnamerica.com/ProductImages//05f5c971-d0d3-4e7c-aa21-b63d62d6fcb9.jpg', 'https://assets.pawnamerica.com/ProductImages//e5f67481-0e85-4035-ba0d-2b8c8227aecf.jpg']"
Germania Mint 10 oz 999.9 Fine Silver Cast Bar Sealed with Box,$349.99,23723039492,Bars & Rounds,"['Shape:Bar', 'Precious Metal Content per Unit:10 oz', 'Mint:Germania Mint', 'Fineness:0.9999', 'Composition:Silver', 'Certificate Number:B80270']","['https://assets.pawnamerica.com/ProductImages//e9ff6e24-662c-4c91-9a9a-8b7dd947ca39.jpg', 'https://assets.pawnamerica.com/ProductImages//31f5d33e-ab3c-4ddb-a311-1c3723d2b30c.jpg', 'https://assets.pawnamerica.com/ProductImages//69c43598-7085-4c2b-b8e5-c281282254ef.jpg', 'https://assets.pawnamerica.com/ProductImages//01eca84c-a59f-468c-80b4-d666e7932c81.jpg', 'https://assets.pawnamerica.com/ProductImages//d7ac0a88-3a0f-4564-9ce3-be166df18b21.jpg', 'https://assets.pawnamerica.com/ProductImages//2fc9adf3-88b8-4a73-b320-5cb6f41a23bd.jpg']"
2021(S) Eagle S$1 Heraldic Eagle T-1 Emergency Production FDI NGC MS 70,$229.99,23224006923,Other US Coins,"['Certification:NGC', 'Denomination:$1', 'Mint Location:San Francisco', 'Year:2021', 'Fineness:0.999', 'Composition:Silver', 'Grade:MS 70', 'Circulated/Uncirculated:Uncirculated', 'Certification Number:6092097-331', 'Country/Region of Manufacture:United States', 'Variety:Elizabeth Jones American Flag']","['https://assets.pawnamerica.com/ProductImages//a3ca1807-8b4b-444f-be32-462d7c36c672.jpg', 'https://assets.pawnamerica.com/ProductImages//a53b92b8-6d61-4f8f-babc-5aca196b82af.jpg', 'https://assets.pawnamerica.com/ProductImages//af7a2819-7f25-4c4f-a979-efea7a4253f6.jpg', 'https://assets.pawnamerica.com/ProductImages//60e13e8c-5184-44a3-9d25-b3ae357ddcf3.jpg', 'https://assets.pawnamerica.com/ProductImages//fa1d2f8f-6ba3-4268-8338-ec46308fef31.jpg']"
"Money Metals Exchange 5 oz Walking Liberty Eagle .999 Fine Silver 3.5"" Round",$169.99,23522046758,Bars & Rounds,"['Shape:Round', 'Precious Metal Content per Unit:5 oz', 'Brand/Mint:Highland Mint', 'Fineness:0.999', 'Country/Region of Manufacture:United States', 'Composition:Silver']","['https://assets.pawnamerica.com/ProductImages//b6847de7-cc40-47ae-b9ec-bad82bb243bb.jpg', 'https://assets.pawnamerica.com/ProductImages//c9e656c0-7f32-4cca-a2a4-735291e5f900.jpg', 'https://assets.pawnamerica.com/ProductImages//89845e5c-5168-4879-ad66-5f218b278d2a.jpg', 'https://assets.pawnamerica.com/ProductImages//43a4d874-3827-45d2-8e06-400a33cde4ad.jpg', 'https://assets.pawnamerica.com/ProductImages//b33bfe64-07cf-472d-a67a-26bb967bbc66.jpg']"
