name,price,item_id,category,description,image_url
Arcade1Up MSP-C-01335 Ms. Pac-Man 40th Anniversary Edition Countercade,$119.99,25524052258,Video Arcade Machines,"['Brand:Arcade1up', 'Game Title:Ms. Pac-man']","['https://assets.pawnamerica.com/ProductImages//ab297fb9-8834-44d1-a416-c0505db20915.jpg', 'https://assets.pawnamerica.com/ProductImages//6b562405-b40c-4e60-9661-625acba59895.jpg', 'https://assets.pawnamerica.com/ProductImages//d939783d-2b5c-4476-858d-81b95df89f27.jpg', 'https://assets.pawnamerica.com/ProductImages//cd2eec32-0ed6-4c60-b0c4-d921b13e9bfc.jpg', 'https://assets.pawnamerica.com/ProductImages//16e63421-a29a-4f66-b9e7-36bd86b63215.jpg', 'https://assets.pawnamerica.com/ProductImages//f692ab21-ad1c-4f9d-82d3-683f3515a3fa.jpg', 'https://assets.pawnamerica.com/ProductImages//fde70a3a-f16a-45d6-92c1-72664fcce340.jpg', 'https://assets.pawnamerica.com/ProductImages//36c68fd3-ca05-427f-8109-bb97833ecb14.jpg', 'https://assets.pawnamerica.com/ProductImages//44f64a48-ce0a-47c1-8701-d0c5c74151c4.jpg', 'https://assets.pawnamerica.com/ProductImages//ed6723bb-329a-48d6-b9f5-fd937e8d84c3.jpg', 'https://assets.pawnamerica.com/ProductImages//c7c2cd7f-f0bb-4be7-b5c6-eb467ab2ed7a.png', 'https://assets.pawnamerica.com/ProductImages//fe099d49-f134-41dc-a96f-882114eb60af.jpg']"
Louis Vuitton New Wave Pink Compact Zip Wallet,$479.99,24915030778,Wallets,"['Brand:Louis Vuitton', 'Color:Pink', 'Material:Leather']","['https://assets.pawnamerica.com/ProductImages//78073f19-a9cb-46d2-9329-d06e72e4a748.jpg', 'https://assets.pawnamerica.com/ProductImages//ce8951ab-80c6-4d71-bc14-a779ac901b0b.jpg', 'https://assets.pawnamerica.com/ProductImages//d6a0eb8c-8f2f-4db7-bf37-c83c1551c3e1.jpg', 'https://assets.pawnamerica.com/ProductImages//61e9ddc4-2b85-47c1-a2b4-99bb63f57028.jpg', 'https://assets.pawnamerica.com/ProductImages//670572ff-7eff-4f9c-8d3c-0a7aa23ac403.jpg', 'https://assets.pawnamerica.com/ProductImages//200de9c8-872b-4fca-9cbc-fb9bc75fb4db.jpg', 'https://assets.pawnamerica.com/ProductImages//74075fb2-08bb-4f07-a558-94a6e88c06c1.jpg', 'https://assets.pawnamerica.com/ProductImages//e70a16f8-063c-41dd-a88f-d55a23f02763.jpg', 'https://assets.pawnamerica.com/ProductImages//5b4a2b2e-25ff-46ed-a260-a7423185ee04.jpg', 'https://assets.pawnamerica.com/ProductImages//a05df7c6-18c8-4237-bfbe-492808bda2ce.jpg', 'https://assets.pawnamerica.com/ProductImages//2c558eaf-b3b2-471a-a499-3608c3708a45.jpg', 'https://assets.pawnamerica.com/ProductImages//28e635bb-7f42-4933-8586-e452bb3f2108.jpg', 'https://assets.pawnamerica.com/ProductImages//1c2747d8-5814-4d1b-a490-0bfcb86e8992.jpg']"
Deadpool (1997) #36 Authenticated Signature CGC 9.6 NEAR MINT+ Marvel Comic Book,$499.99,23723034208,Comics & Graphic Novels,"['Series Title:Deadpool', 'Character:Deadpool', 'Publication Year:2000', 'Era:Modern Age (1992-Now)', 'Format:Single Issue', 'Type:Comic Book', 'Grade:9.6 Near Mint+', 'Professional Grader:Certified Guaranty Company (CGC)', 'Certification Number:1519253012', 'Signed By:Stan Lee', 'Signed:Yes', 'Style:Color', 'Autograph Authentication:Certified Guaranty Company (CGC)', 'Autograph Authentication Number:1519253012', 'Issue Number:1']","['https://assets.pawnamerica.com/ProductImages//6b4bee7e-418b-4ed2-844a-564a409c5a34.JPG', 'https://assets.pawnamerica.com/ProductImages//c8fdac94-b12b-448b-82a2-9d7cffd126f6.JPG', 'https://assets.pawnamerica.com/ProductImages//09a35d7f-8551-453f-b41e-985b8fa85735.JPG', 'https://assets.pawnamerica.com/ProductImages//fde7a6f7-0b59-4c3c-9783-1bea19b3659d.JPG', 'https://assets.pawnamerica.com/ProductImages//0c11d6d1-18d1-44cf-8174-11d77d6d9fa6.JPG', 'https://assets.pawnamerica.com/ProductImages//2b970ca1-7762-4177-a96b-1453c605ab77.JPG', 'https://assets.pawnamerica.com/ProductImages//dbac4781-e248-4959-9830-a2b21bc8b7db.JPG', 'https://assets.pawnamerica.com/ProductImages//8d01f2df-b331-4318-9eef-c6abfaa8ddd5.JPG', 'https://assets.pawnamerica.com/ProductImages//233dba3c-06c0-487a-b6c2-94359874a8ec.JPG', 'https://assets.pawnamerica.com/ProductImages//c9da535d-fe03-4f86-9489-6cec1476f357.JPG', 'https://assets.pawnamerica.com/ProductImages//7f85e874-f175-41b4-815b-947eedb263a9.JPG']"
CRKT Heiho Folding Tactical Knife Williams Design Model 2901,$59.99,24223022499,Factory Manufactured,"['Model:2901', 'Brand:CRKT', 'Type:Everyday Carry', 'Color:Black', 'Blade Edge:Combination', 'Modified Item:No']","['https://assets.pawnamerica.com/ProductImages//77fb5cc4-14ca-4de3-93cd-9524cd68fa7f.jpg', 'https://assets.pawnamerica.com/ProductImages//e2f76b42-4792-4e41-a90b-d8c7677d5297.jpg', 'https://assets.pawnamerica.com/ProductImages//3e2ded32-107a-4ff7-84d1-4230e78e250d.jpg', 'https://assets.pawnamerica.com/ProductImages//a19b11fe-2f4f-4e32-be27-ec992e6f6d8c.jpg', 'https://assets.pawnamerica.com/ProductImages//c1ab025b-1c0b-4183-bf39-162a62811246.jpg', 'https://assets.pawnamerica.com/ProductImages//3f6875b0-abbd-4283-90c1-93e6e78b4f73.jpg', 'https://assets.pawnamerica.com/ProductImages//de178acb-147f-4394-bccf-2dc9fc81321f.jpg', 'https://assets.pawnamerica.com/ProductImages//3c9e3095-1e10-49f3-8f91-1ecd733fb304.jpg', 'https://assets.pawnamerica.com/ProductImages//d4d86a0f-2381-4949-bc2a-6c54a0c18d81.jpg']"
Jim Halpert John Krasinski Auto JSA The Office Pop! Television 870 Vinyl Figure,$149.99,24322046351,Celebrities,"['Autograph Authentication:JSA', 'Celebrity:John Krasinski', 'Signed:Yes']","['https://assets.pawnamerica.com/ProductImages//f2d99b01-65f9-4178-bf1b-47dec8db3f1d.JPG', 'https://assets.pawnamerica.com/ProductImages//b25fa587-84c9-4b33-bd1a-d3d389688fec.JPG', 'https://assets.pawnamerica.com/ProductImages//e477c025-c876-45a3-bded-27583105c186.JPG', 'https://assets.pawnamerica.com/ProductImages//35bd7937-725c-4b23-baf6-5e460764335d.JPG', 'https://assets.pawnamerica.com/ProductImages//e9731f50-5b7e-4841-abf0-a147f1c3acbb.JPG', 'https://assets.pawnamerica.com/ProductImages//e97f8035-9e8a-4631-9cf5-72b63a0184ed.JPG', 'https://assets.pawnamerica.com/ProductImages//02c01bf7-741d-4d3b-a96f-417a6247382e.JPG', 'https://assets.pawnamerica.com/ProductImages//b6a828ae-affc-4f13-88f8-785985495a53.JPG', 'https://assets.pawnamerica.com/ProductImages//727bd454-f611-418c-b4db-b71c77335f8b.JPG', 'https://assets.pawnamerica.com/ProductImages//6dcd6a44-981e-4f95-9375-b3823febccc4.JPG']"
Ted Lasso Jason Sudeikis Auto JSA Authenticated Funko Pop 1258 Vinyl Figure,$139.99,24322046352,Celebrities,"['Autograph Authentication:JSA', 'Celebrity:Jason Sudeikis', 'Industry:Celebrities', 'Original/Reproduction:Original', 'Signed:Yes']","['https://assets.pawnamerica.com/ProductImages//fd361454-b111-4a00-b7b8-b4668adf4c0a.JPG', 'https://assets.pawnamerica.com/ProductImages//0a36a758-842a-4935-b7e6-b51d207f5821.JPG', 'https://assets.pawnamerica.com/ProductImages//9998e895-4a5b-4099-8685-5cbdfb77f4a4.JPG', 'https://assets.pawnamerica.com/ProductImages//e1195393-e8af-4722-8c4c-369a08f16aca.JPG', 'https://assets.pawnamerica.com/ProductImages//2cae557d-14b2-463f-8f78-c1e02a309d8f.JPG', 'https://assets.pawnamerica.com/ProductImages//e0be4f9b-2198-45ce-ab40-3181151405ec.JPG', 'https://assets.pawnamerica.com/ProductImages//a7adaf0a-47c5-42ee-abc8-65f6ff606158.JPG', 'https://assets.pawnamerica.com/ProductImages//475bd3e0-f6f2-48f6-950b-640eb3ffecc8.JPG', 'https://assets.pawnamerica.com/ProductImages//3a9c7980-921a-4558-a62b-403a83d02241.JPG']"
Barack Obama Auto PSA/DNA Certified Authentic Ten Most Wanted Fugitive Cut,$849.99,24322046358,Presidential,"['Autograph Authentication:Professional Sports (PSA/DNA)', 'Industry:Presidential', 'Original/Reproduction:Original', 'President:Barack Obama', 'Signed:Yes']","['https://assets.pawnamerica.com/ProductImages//dde9296a-c00b-4b1b-a135-473b24480b9a.JPG', 'https://assets.pawnamerica.com/ProductImages//ed8793da-669e-4e8f-868c-519fd9e786e7.JPG', 'https://assets.pawnamerica.com/ProductImages//e9ef84ff-b0ca-4f2b-82f6-75a15be4be26.JPG', 'https://assets.pawnamerica.com/ProductImages//76a5e321-bca1-45cd-a03a-34345768b750.JPG', 'https://assets.pawnamerica.com/ProductImages//26196bbd-1a19-4938-88ac-b2916cdc605a.JPG', 'https://assets.pawnamerica.com/ProductImages//3048948d-2e35-4712-9a8c-7e90c7432857.JPG', 'https://assets.pawnamerica.com/ProductImages//0c2fa5c9-8dca-42ff-ad87-15b397ba086f.JPG', 'https://assets.pawnamerica.com/ProductImages//8c03bdc0-73c9-4b82-8068-987686db205e.JPG', 'https://assets.pawnamerica.com/ProductImages//ed94e385-8725-4475-94ad-34de3f1a72e3.JPG', 'https://assets.pawnamerica.com/ProductImages//54e2d8da-1b17-42bb-932b-c3083bc66b39.JPG', 'https://assets.pawnamerica.com/ProductImages//52abee9b-9c10-4871-858e-81e9ddd55f84.JPG', 'https://assets.pawnamerica.com/ProductImages//ac7aaad1-607e-4bd6-9137-2ba27ae1b1f0.JPG']"
Viking Tactics USA VTAC05 Norsemen Fixed-Blade Knife,$129.99,24322051264,Factory Manufactured,"['Brand:Viking Tactics', 'Original/Reproduction:Original', 'Country/Region of Manufacture:United States']","['https://assets.pawnamerica.com/ProductImages//4f0a6162-465b-4820-93f6-ed9284f4e1b8.JPG', 'https://assets.pawnamerica.com/ProductImages//18885b87-516d-4e94-9dde-45d2753d7b09.JPG', 'https://assets.pawnamerica.com/ProductImages//5baf0400-45c4-4309-943b-e3edf45df733.JPG', 'https://assets.pawnamerica.com/ProductImages//e90ac438-7afc-4830-9dc1-62050991ea9f.JPG', 'https://assets.pawnamerica.com/ProductImages//c6811061-9632-4236-956d-808621a6f7c6.JPG', 'https://assets.pawnamerica.com/ProductImages//89f06f99-5fad-4e2f-a354-41b53f29031d.JPG', 'https://assets.pawnamerica.com/ProductImages//2b1375d0-596a-4891-97d6-76b6af2ec8f7.JPG', 'https://assets.pawnamerica.com/ProductImages//14cf7f21-4799-4f64-9352-78135edfcda6.JPG', 'https://assets.pawnamerica.com/ProductImages//660d76ec-7c11-47a6-b1b4-9e47133c87aa.JPG', 'https://assets.pawnamerica.com/ProductImages//a4fc4979-c5d9-4500-a0c1-9a43e086610b.JPG', 'https://assets.pawnamerica.com/ProductImages//e44865a4-e206-496b-af87-1057de6e1429.JPG', 'https://assets.pawnamerica.com/ProductImages//7b40f4eb-3a1c-4084-842f-32d7a1df713a.JPG', 'https://assets.pawnamerica.com/ProductImages//bf11727f-0a44-45ed-bd87-64614aa5003c.JPG', 'https://assets.pawnamerica.com/ProductImages//ae549282-b6cd-4b41-8b64-64f6f2a9c07a.JPG', 'https://assets.pawnamerica.com/ProductImages//c42b1d51-bd94-4fc5-85bd-36335d3bac59.JPG']"
DeWalt DCG405 20V MAX XR Brushless Angle Grinder 4-1/2 inch,$109.99,25522024035,Grinders,"['Type:Angle Grinder', 'Color:Yellow And Black', 'Brand:DeWalt', 'Model:DCG405', 'Voltage:20v Max', 'Category:Home & Garden > Tools & Workshop Equipment > Power Tools > Grinders', 'MPN:DCG405']","['https://assets.pawnamerica.com/ProductImages//5354a77c-20eb-42db-bfd9-ee1b788501bb.jpg', 'https://assets.pawnamerica.com/ProductImages//e73fa289-9784-4508-9e93-cb4efde51004.jpg', 'https://assets.pawnamerica.com/ProductImages//5252e71d-d555-46a6-80fb-443d5ad473aa.jpg', 'https://assets.pawnamerica.com/ProductImages//3963b4bc-c356-4812-83e9-811872875131.jpg', 'https://assets.pawnamerica.com/ProductImages//beedfb34-4de7-4133-ad22-c3644b3b6af3.jpg', 'https://assets.pawnamerica.com/ProductImages//97740760-f43a-4ffa-8d95-3cbdf2ef7730.jpg', 'https://assets.pawnamerica.com/ProductImages//7a8450b2-28e5-47ef-8fec-29bcb3aaef52.jpg']"
Vintage 1969 Thermos Family Affair Lunchbox,$99.99,23723038131,Pre-1970,"['Brand:Thermos', 'Material:Metal', 'Time Period Manufactured:Pre-1970']","['https://assets.pawnamerica.com/ProductImages//0a6ab16d-326c-4637-8ac0-68e048eef162.JPG', 'https://assets.pawnamerica.com/ProductImages//df4c61b2-cabf-46d1-a497-1f0aaf7229e8.JPG', 'https://assets.pawnamerica.com/ProductImages//699b1b51-4468-4886-ae20-2a119c48367c.JPG', 'https://assets.pawnamerica.com/ProductImages//8fc87204-85fc-4ca2-a47e-1013b57037eb.JPG', 'https://assets.pawnamerica.com/ProductImages//a61133e9-d428-423a-9f2c-64efbf9a6f9a.JPG', 'https://assets.pawnamerica.com/ProductImages//7fe32d97-af59-4fff-aafc-4aff4151e64e.JPG', 'https://assets.pawnamerica.com/ProductImages//b285dcee-a2aa-4bbe-ac08-79bb53a65b04.JPG', 'https://assets.pawnamerica.com/ProductImages//7cf35893-0cc1-4e3d-a8e9-dfa5356a2290.JPG']"
