name,price,item_id,category,description,image_url
Le Vian 2.22ctw Round Cut Diamond Flower Shaped Pair Earrings 14k Rose Gold,$1499.99,23523032111,Earrings,"['Brand:Le Vian', 'Metal:Rose Gold', 'Metal Purity:14k', 'Metal Weight:6.7dwt / 10.41 Grams', 'Type:Earrings', 'Style:Dangle/Drop', 'Setting Style:Prong', 'Closure:Hinged', 'Shape:Flower', 'Main Stone:Diamond', 'Main Stone Shape:Round', 'Main Stone Creation:Natural', 'Colored Diamond Intensity:Light', 'Main Stone Color:Brown', 'Main Stone Quantity:78', 'Estimated Carat Weight:.55ctw', 'Diamond Clarity Grade:SI2 - I1', 'Secondary Stone:Diamond', 'Secondary Stone Shape:Round', 'Secondary Stone Creation:Natural', 'Secondary Stone Quantity:98', 'Secondary Stone Estimated Carat Weight:.70ctw', 'Secondary Stone Diamond Color Grade:M - N', 'Secondary Stone Diamond Clarity Grade:SI2 - I1', 'Additional Stone:Diamond', 'Additional\xa0Stone Shape:Round', 'Additional\xa0Stone Creation:Natural', 'Additional\xa0Stone Quantity:136', 'Additional\xa0Stone Estimated Carat Weight:.97ctw', 'Additional\xa0Stone Diamond Color:Black', 'Additional\xa0Stone Diamond Clarity:Opaque', 'Est. Total Carat Weight:2.22ctw', 'Earring Measurement:38.6mm x 24.9mm']","['https://assets.pawnamerica.com/ProductImages//1fc772c1-0bc3-4cbd-8556-9b16ce831e9b.jpg', 'https://assets.pawnamerica.com/ProductImages//a38e4361-83d2-493a-990c-98d95916dbd3.jpg', 'https://assets.pawnamerica.com/ProductImages//26f76790-e213-42c8-9e33-65c7ba665d9b.jpg', 'https://assets.pawnamerica.com/ProductImages//5be5b82e-85d2-47ed-b7b0-b2ae13647c09.jpg', 'https://assets.pawnamerica.com/ProductImages//ae411b0f-3134-4fc9-87b0-e2f3068832ec.jpg', 'https://assets.pawnamerica.com/ProductImages//a66ab8f0-6062-46c4-bdc4-774b07257534.jpg']"
".88ctw Round Cut Diamond S-Link 7.5"" Tennis Bracelet 10k Yellow Gold 6.37 Grams",$699.99,23522046921,Bracelets & Charms,"['Metal:Yellow Gold', 'Metal Purity:10k', 'Metal Weight:4.1dwt / 6.37 Grams', 'Style:Tennis', 'Type:Bracelet', 'Setting Style:Prong', 'Chain Type:S-Link', 'Closure:Box', 'Main Stone:Diamond', 'Main Stone Shape:Round', 'Main Stone Creation:Natural', 'Main Stone Qty:53', 'Diamond Color Grade:I - K', 'Diamond Clarity Grade:Included (I1 - I3)', 'Est. Total Carat Weight:.88ctw', 'Bracelet Measurement:7.5"" Length / 4.0mm Width']","['https://assets.pawnamerica.com/ProductImages//cdc8e00c-1060-44d8-8523-3b6cbf0fa520.jpg', 'https://assets.pawnamerica.com/ProductImages//fc035255-24f0-4ae6-8add-d6ad7f946482.jpg', 'https://assets.pawnamerica.com/ProductImages//2e4e4645-5d1c-40be-8e23-4f37958bbaab.jpg', 'https://assets.pawnamerica.com/ProductImages//b71d3af3-1502-4557-8952-e938f739e757.jpg', 'https://assets.pawnamerica.com/ProductImages//53a581e4-b24a-4423-8dfd-f612d6a2040c.jpg']"
"Michael Anthony 2.7mm Rope Link 24"" Necklace 14k Yellow Gold Bolivia 13.68 Grams",$999.99,23521013734,Necklaces & Pendants,"['Brand:Michael Anthony', 'Metal:Yellow Gold', 'Metal Purity:14k', 'Metal Weight:8.8dwt / 13.68 Grams', 'Style:Chain', 'Type:Necklace', 'Chain Type:Rope', 'Closure:Lobster', 'Country/Region of Manufacture:Bolivia', 'Necklace Measurement:24"" Length / 2.7mm Width']","['https://assets.pawnamerica.com/ProductImages//5310c536-e22c-4b4b-815a-a8c55c298488.jpg', 'https://assets.pawnamerica.com/ProductImages//ed1f14bf-edc9-4c5d-bde0-0c9d4feadcd0.jpg', 'https://assets.pawnamerica.com/ProductImages//0a7a0fff-962b-40b5-b23e-b6b135758193.jpg', 'https://assets.pawnamerica.com/ProductImages//9ff86bab-a606-4b07-b9de-fc5356ece66e.jpg', 'https://assets.pawnamerica.com/ProductImages//4ab14eaf-1757-459b-8605-b0c8678b85cf.jpg']"
4mm Polished Classic Wedding Band Ring 14k Yellow Gold 4.66 Grams Size 8.25,$329.99,90218008000,Wedding & Anniversary Bands,"['Metal:Yellow Gold', 'Metal Purity:14k', 'Metal Weight:3.0dwt / 4.66 Grams', 'Type:Wedding/Anniversary Band', 'Ring Size:8.25', 'Ring Face Height:4mm', 'Department:Men']","['https://assets.pawnamerica.com/ProductImages//3e9ccb68-73d8-4ace-8a13-8f8ec1de33b3.jpg', 'https://assets.pawnamerica.com/ProductImages//ff75a92a-d119-4f3b-b945-0a4d634d161d.jpg', 'https://assets.pawnamerica.com/ProductImages//c7cae34f-08af-48cf-8ac1-90887e0c3b52.jpg', 'https://assets.pawnamerica.com/ProductImages//590dd7aa-5588-4904-84a6-a9dc867c7651.jpg', 'https://assets.pawnamerica.com/ProductImages//dbd8b7ba-e295-4af8-b797-bc81256face8.jpg']"
.40ctw Round Cut Diamond Prong-Set Hoop Pair Earrings 14k White Gold 2.79 Grams,$399.99,23523034651,Earrings,"['Metal:White Gold', 'Metal Purity:14k (tested)', 'Metal Weight:1.8dwt / 2.79 Grams', 'Type:Earrings', 'Style:Hoop', 'Setting Style:Prong', 'Closure:Snap', 'Main Stone:Diamond', 'Main Stone Shape:Round', 'Main Stone Creation:Natural', 'Main Stone Quantity:20', 'Diamond Color Grade:G', 'Diamond Clarity Grade:SI2 - I1', 'Est. Total Carat Weight:.40ctw', 'Earring Measurement:7/8"" x 3/4"" x 2.1mm']","['https://assets.pawnamerica.com/ProductImages//7ea24ebf-8374-4108-948b-666692e8fc93.jpg', 'https://assets.pawnamerica.com/ProductImages//b6c04f9e-89b4-4f56-a5a7-6874048233ac.jpg', 'https://assets.pawnamerica.com/ProductImages//955419f4-caa7-489a-b2e2-eb6e4b08ff3f.jpg', 'https://assets.pawnamerica.com/ProductImages//7153cb42-9956-43b9-bfd2-eee46e346221.jpg', 'https://assets.pawnamerica.com/ProductImages//bc16e352-60f6-489a-8b0b-41931a2c5235.jpg']"
PANDORA Cherry Blossom Enamel Flower Ring 14k Yellow Gold 2.17 Grams Size 7.5,$179.99,23524041478,Rings,"['Brand:PANDORA', 'Metal:Yellow Gold', 'Metal Purity:14k', 'Metal Weight:1.4dwt / 2.17 Grams', 'Type:Ring', 'Style:Cocktail', 'Shape:Flower', 'Features:Enamel', 'Ring Size:7.5', 'Ring Face Height:7.1mm', 'Department:Women']","['https://assets.pawnamerica.com/ProductImages//a04e4be6-9531-41bc-bf42-82d32342c68f.jpg', 'https://assets.pawnamerica.com/ProductImages//93653a93-0023-47b5-af17-6a9720f8ec78.jpg', 'https://assets.pawnamerica.com/ProductImages//d69f8c1c-7d20-473f-aef2-8ec62038341e.jpg', 'https://assets.pawnamerica.com/ProductImages//4e5b823a-a31f-4c80-ba00-48c2f3aabd32.jpg', 'https://assets.pawnamerica.com/ProductImages//7feb8255-5b7b-40e7-8218-e4b3e7d21739.jpg', 'https://assets.pawnamerica.com/ProductImages//780f0347-3192-4eeb-b0b0-c2a30e47932c.jpg']"
Ever Us 2.22ctw Diamond Two-Stone Wedding Set Rings 14k Multi-Tone Gold Size 6.5,$1999.99,24222027706,Engagement & Wedding Ring Sets,"['Brand:Ever Us', 'Metal:Multi-Tone Gold / White and Rose', 'Metal Purity:14k', 'Metal Weight:5.2dwt / 8.08 Grams', 'Type:Engagement/Wedding Ring Set', 'Setting Style:Two-Stone', 'Ring Size:6.5', 'Ring Face Height:9mm', 'Department:Women', 'Main Stone:Diamond', 'Main Stone Shape:Round', 'Main Stone Creation:Natural', 'Main Stone Quantity:2', 'Estimated Carat Weight:.70ctw', 'Diamond Color Grade:H - I', 'Diamond Clarity Grade:SI2 - I1', 'Secondary Stone:Diamond', 'Secondary Stone Shape:Round', 'Secondary Stone Creation:Natural', 'Secondary Stone Quantity:20', 'Secondary Stone Estimated Carat Weight:1.52ctw', 'Secondary Stone Diamond Color Grade:H - J', 'Secondary Stone Diamond Clarity Grade:SI2 - I2', 'Est. Total Carat Weight:2.22ctw']","['https://assets.pawnamerica.com/ProductImages//bea5ff22-f050-4924-a258-776ea850589a.jpg', 'https://assets.pawnamerica.com/ProductImages//95f347f7-8610-4f79-8dfc-14511c21c18c.jpg', 'https://assets.pawnamerica.com/ProductImages//3812d617-44c1-44ca-b7b1-2177f1a6f6d4.jpg', 'https://assets.pawnamerica.com/ProductImages//9e51dbc6-57e9-4e1d-bd8d-21d54eb6814a.jpg', 'https://assets.pawnamerica.com/ProductImages//17c862cc-ab83-431e-b8c7-2678f756e164.jpg', 'https://assets.pawnamerica.com/ProductImages//58a81b88-1ee3-463d-badb-2f78fdc9bd22.jpg', 'https://assets.pawnamerica.com/ProductImages//cf35cb78-e52c-4dae-8295-52fd3a8be94e.jpg', 'https://assets.pawnamerica.com/ProductImages//3ae81fdc-ffc4-423d-9e81-e0bd60872a96.jpg']"
2.90ctw Multi-Cut Diamond Cluster Halo Statement Ring 14k White Gold Size 7,$3499.99,23522043543,Rings,"['Metal:White Gold', 'Metal Purity:14k', 'Metal Weight:6.6dwt / 10.26 Grams', 'Type:Ring', 'Style:Cocktail', 'Setting Style:Cluster', 'Ring Size:7', 'Ring Face Height:20.6mm', 'Department:Women', 'Main Stone:Diamond', 'Main Stone Shape:Princess', 'Main Stone Creation:Natural', 'Main Stone Qty:12', 'Est. Carat Weight:1.08ctw', 'Main Stone Width:2.5mm', 'Diamond Color Grade:G - H', 'Diamond Clarity Grade:SI2 - I1', 'Secondary Stone:Diamond', 'Secondary Stone Shape:Round', 'Secondary Stone Creation:Natural', 'Secondary Stone Qty:108', 'Secondary Stone Estimated Carat Weight:1.08ctw', 'Secondary Stone Diamond Color Grade:G - H', 'Secondary Stone Diamond Clarity Grade:SI1 - SI2', 'Additional Stone:Diamond', 'Additional\xa0Stone Shape:Baguette', 'Additional\xa0Stone Creation:Natural', 'Additional\xa0Stone Qty:74', 'Additional\xa0Stone Estimated Carat Weight:.74ctw', 'Additional\xa0Stone Diamond Color Grade:G - H', 'Additional\xa0Stone Diamond Clarity Grade:SI1 - SI2', 'Est. Total Carat Weight:2.90ctw', 'Country/Region of Manufacture:India']","['https://assets.pawnamerica.com/ProductImages//257b7f40-9631-45cd-878d-267b7b5fcc6b.jpg', 'https://assets.pawnamerica.com/ProductImages//ed9077ee-fb4c-49ad-b5ba-b307f66e6852.jpg', 'https://assets.pawnamerica.com/ProductImages//68f06ddf-e714-4eb5-a99c-d94f2cc03687.jpg', 'https://assets.pawnamerica.com/ProductImages//fc1a43d1-536f-4477-bd73-745888e2b451.jpg', 'https://assets.pawnamerica.com/ProductImages//2a08dd26-7852-4541-8a98-3b40c95b2811.jpg', 'https://assets.pawnamerica.com/ProductImages//413274d2-a102-4c5f-84a2-0d8acab97c22.jpg', 'https://assets.pawnamerica.com/ProductImages//e9134e93-fa8a-404a-9a08-643031d86c77.jpg']"
"1.08ctw Diamond Cluster Fancy Link 7.25"" Bracelet 14k Yellow Gold 26.43 Grams",$2199.99,23524040890,Bracelets & Charms,"['Metal:Yellow Gold', 'Metal Purity:14k', 'Metal Weight:17.0dwt / 26.43 Grams', 'Style:Tennis', 'Type:Bracelet', 'Setting Style:Cluster', 'Chain Type:Fancy Link', 'Closure:Box', 'Main Stone:Diamond', 'Main Stone Shape:Round', 'Main Stone Creation:Natural', 'Main Stone Qty:54', 'Diamond Color Grade:G - H', 'Diamond Clarity Grade:SI2 - I1', 'Est. Total Carat Weight:1.08ctw', 'Bracelet Measurement:7.25"" Length / 9.7mm Width']","['https://assets.pawnamerica.com/ProductImages//aa514f4c-5e20-4599-b1b4-b3898699ddef.jpg', 'https://assets.pawnamerica.com/ProductImages//48430782-a869-4793-92b3-03b215f2026c.jpg', 'https://assets.pawnamerica.com/ProductImages//f50ce70c-f085-45f8-ae27-0df70db9eb52.jpg', 'https://assets.pawnamerica.com/ProductImages//959d59b3-3a4b-4d42-be4b-452b20a9820c.jpg', 'https://assets.pawnamerica.com/ProductImages//b87fa7e6-ba03-4471-8b64-047ef31d0d3f.jpg', 'https://assets.pawnamerica.com/ProductImages//49fb7da3-7d2b-4d52-a876-a4a5211d9b24.jpg']"
.52ctw Diamond Channel-Set Pendant without Chain 14k Multi-Tone Gold 2.95 Grams,$499.99,23524041347,Necklaces & Pendants,"['Metal:Multi-Tone Gold / White, Yellow', 'Metal Purity:14k', 'Metal Weight:1.9dwt / 2.95 Grams', 'Style:Statement', 'Type:Pendant', 'Pendant Shape:Asymmetrical', 'Setting Style:Channel-Set', 'Chain Type:No Chain', 'Main Stone:Diamond', 'Main Stone Shape:Round', 'Main Stone Creation:Natural', 'Main Stone Quantity:12', 'Estimated Carat Weight:.29ctw', 'Diamond Color Grade:I - K', 'Diamond Clarity Grade:SI2 - I1', 'Secondary Stone:Diamond', 'Secondary Stone Shape:Baguette', 'Secondary Stone Creation:Natural', 'Secondary Stone Quantity:18', 'Secondary Stone Estimated Carat Weight:.23ctw', 'Secondary Stone Diamond Color Grade:I - K', 'Secondary Stone Diamond Clarity Grade:SI2 - I1', 'Est. Total Carat Weight:.52ctw', 'Pendant Measurement:1"" x 9.6mm']","['https://assets.pawnamerica.com/ProductImages//4001dc9a-69a0-4a93-abb5-8642944be606.jpg', 'https://assets.pawnamerica.com/ProductImages//ae816aef-f1ed-4afd-ada5-8bb50e630c50.jpg', 'https://assets.pawnamerica.com/ProductImages//b73a9f16-d33d-4080-9074-ef3fefdb3092.jpg', 'https://assets.pawnamerica.com/ProductImages//5c3fc639-2233-416a-996f-6ced5bf99139.jpg', 'https://assets.pawnamerica.com/ProductImages//9d705026-aa0c-4f0f-ae1c-78de05d6ced3.jpg']"
