name,price,item_id,category,description,image_url
JHS 3 Series Fuzz Electric Guitar Pedal,$59.99,24521057415,Distortion & Overdrive,"['Brand:JHS', 'Type:Distortion', 'To Fit:Electric Guitar', 'Analog/Digital:Analog', 'MPN:FUZZ', 'Model:JHS 3 Series Fuzz']","['https://assets.pawnamerica.com/ProductImages//5356aac7-81f3-42ba-a350-98bfe6f6e933.JPG', 'https://assets.pawnamerica.com/ProductImages//0b2c8bb9-07a7-465f-aca7-914cb7aabcea.JPG', 'https://assets.pawnamerica.com/ProductImages//798a5582-48e3-4bde-a496-cca94ed47b4b.JPG', 'https://assets.pawnamerica.com/ProductImages//b53cd2fc-ed0f-47e6-b84b-b1770fd3733b.JPG', 'https://assets.pawnamerica.com/ProductImages//8b1930f7-8ce5-4163-a61d-42065a2ae9a2.JPG', 'https://assets.pawnamerica.com/ProductImages//d4e2dcf5-8161-4d1a-a012-1bc92ae77baa.JPG', 'https://assets.pawnamerica.com/ProductImages//2a173f56-ef34-43b0-83ed-1a3f952c66b2.JPG', 'https://assets.pawnamerica.com/ProductImages//fdb591df-b0b4-4b5e-b631-7f8aac053d5c.JPG']"
Sterling by Music Man Sub Series 5-String RH Solidbody Electric Bass Guitar,$229.99,25121046799,Bass Guitars,"['Brand:Sterling by Music Man', 'Type:Electric Bass Guitar', 'String Configuration:5-String', 'Model:Sub Series', 'Body Type:Solidbody', 'Handedness:Right-Handed', 'Body Color:Blue', 'Number of Frets:22', 'MPN:Does Not Apply', 'Country/Region of Manufacture:China']","['https://assets.pawnamerica.com/ProductImages//07b620a2-76ff-4981-acdf-d2512c0c9cd6.jpg', 'https://assets.pawnamerica.com/ProductImages//222259e7-63c0-4dce-9a30-5e500c20288d.jpg', 'https://assets.pawnamerica.com/ProductImages//a44535a5-1c33-469a-97ac-d38ec540d19f.jpg', 'https://assets.pawnamerica.com/ProductImages//d4ddcaf1-edc3-4d27-a93e-58f1761d523a.jpg', 'https://assets.pawnamerica.com/ProductImages//d536ce0b-1736-4a83-98f9-7d22d21a5049.jpg', 'https://assets.pawnamerica.com/ProductImages//ba2b427f-7027-4d67-b9b1-ab3e54dd6a48.jpg', 'https://assets.pawnamerica.com/ProductImages//c70a3ae4-0956-44bb-b9e3-f82032f1643b.jpg', 'https://assets.pawnamerica.com/ProductImages//7eee9e10-8d67-475c-9b57-e090dfe7ad81.jpg', 'https://assets.pawnamerica.com/ProductImages//d3e59e11-6989-4509-8a60-0f155211131a.jpg', 'https://assets.pawnamerica.com/ProductImages//da1c7634-d310-42ed-a04e-ebba584b687f.jpg', 'https://assets.pawnamerica.com/ProductImages//a6494447-ce39-4df1-8a69-e383c96904c2.jpg', 'https://assets.pawnamerica.com/ProductImages//fac21f27-ef3c-4f7d-bf74-3e551e826fad.jpg']"
Gibson SG Special 2018 6-String Right-Handed Electric Guitar - Satin Cherry,$999.99,24523040398,Electric Guitars,"['Brand:Gibson', 'Type:Electric Guitar', 'Series:Gibson SG', 'Model:Gibson SG Special', 'Body Color:Red', 'Handedness:Right-Handed', 'Body Type:Solid', 'String Configuration:6 String', 'Number of Frets:22', 'Model Year:2018', 'Body Material:Mahogany', 'Fretboard Material:Rosewood', 'Neck Material:Mahogany', 'MPN:SG Special', 'Country/Region of Manufacture:United States']","['https://assets.pawnamerica.com/ProductImages//7aa4da66-fe12-4720-a134-414d8fed1591.JPG', 'https://assets.pawnamerica.com/ProductImages//53ee6b55-de4a-426e-9b4c-ca7681a6b10c.JPG', 'https://assets.pawnamerica.com/ProductImages//47cc0421-7960-4f8f-ac14-28d5d0a65e1e.JPG', 'https://assets.pawnamerica.com/ProductImages//3395424e-0efe-4cbb-9537-8816d4ac36b3.JPG', 'https://assets.pawnamerica.com/ProductImages//41109433-b890-444c-a41d-987096d6cf23.JPG', 'https://assets.pawnamerica.com/ProductImages//bf16f05e-d17f-4157-a607-abc101ca59fb.JPG', 'https://assets.pawnamerica.com/ProductImages//d5129a21-208b-4d82-b533-7e4fc1f8ff15.JPG', 'https://assets.pawnamerica.com/ProductImages//927d708b-8792-4f60-b224-6428f3dcd2aa.JPG', 'https://assets.pawnamerica.com/ProductImages//8a343260-bcd5-40c9-a800-a1fc8eafdd9f.JPG', 'https://assets.pawnamerica.com/ProductImages//3f7f6005-6901-4cf0-b00a-3e5958baa275.JPG', 'https://assets.pawnamerica.com/ProductImages//d01cbd0c-cddc-4e20-b884-17c0dc37107a.JPG', 'https://assets.pawnamerica.com/ProductImages//52295629-0960-4ead-ba62-12c2271819fd.JPG', 'https://assets.pawnamerica.com/ProductImages//c20aed16-14f4-461e-9f1d-5723425a5cbe.JPG', 'https://assets.pawnamerica.com/ProductImages//eba7f3c5-06ee-4322-be31-e50eb06458e5.JPG', 'https://assets.pawnamerica.com/ProductImages//a6ab2ebb-b817-44ae-817f-9492fcb40af0.JPG', 'https://assets.pawnamerica.com/ProductImages//c3803d52-1912-4899-b081-8d6201675717.JPG', 'https://assets.pawnamerica.com/ProductImages//eeaa2599-ae4b-42a3-afe2-d3e7ee28af8e.JPG', 'https://assets.pawnamerica.com/ProductImages//de79558b-5cc1-4ef5-8549-0e406db2832a.JPG']"
DOD BiFET Boost 410 Electric Guitar Boost Pedal,$59.99,24521057416,Other Guitar Effects Pedals,"['Brand:DOD', 'Type:Boost', 'To Fit:Electric Guitar', 'Analog/Digital:Analog', 'MPN:DOD410-14-U', 'Model:DOD BiFET Boost 410']","['https://assets.pawnamerica.com/ProductImages//91fc70c8-ba4b-4a76-9fa9-1a4fa67bcf2a.JPG', 'https://assets.pawnamerica.com/ProductImages//f14bfd3a-7363-459d-a64d-dbb2d99eace9.JPG', 'https://assets.pawnamerica.com/ProductImages//128e6f9f-8679-478e-8ef4-f94289bb5785.JPG', 'https://assets.pawnamerica.com/ProductImages//0254f9c2-3bab-49e8-b0bc-e8e5fa733a54.JPG', 'https://assets.pawnamerica.com/ProductImages//331d61cb-0bc8-4f30-ba96-484eb6094bdc.JPG', 'https://assets.pawnamerica.com/ProductImages//06f5a537-6b94-41c2-bd43-f55b7e43b7b1.JPG', 'https://assets.pawnamerica.com/ProductImages//4a99a9fc-4365-4e64-8136-fbd5b54e45f9.JPG', 'https://assets.pawnamerica.com/ProductImages//3c81d0a8-0395-4860-994c-3dd3fbb70cfe.JPG']"
Fender Right Hand 4 String Electric Jazz Bass Guitar,$599.99,25523050404,Bass Guitars,"['Brand:Fender', 'Type:Bass Guitar', 'String Configuration:4 String', 'Model:Jazz Bass', 'Handedness:Right-Handed', 'Body Color:Yellow']","['https://assets.pawnamerica.com/ProductImages//1aa0f573-a04d-483b-a53f-080dd074ee1c.jpg', 'https://assets.pawnamerica.com/ProductImages//1afa0713-ff5c-4bb2-89bb-42a273358ee8.jpg', 'https://assets.pawnamerica.com/ProductImages//db904315-d00e-420a-bc3d-bce1833a729f.jpg', 'https://assets.pawnamerica.com/ProductImages//43e6fdec-1af4-4baf-9fe9-0b41147581fc.jpg', 'https://assets.pawnamerica.com/ProductImages//a57d60b0-bd27-4596-89c9-3211f83675d3.jpg', 'https://assets.pawnamerica.com/ProductImages//b2bb1c01-f151-4dcf-9175-df18b869ea0c.jpg', 'https://assets.pawnamerica.com/ProductImages//205822d6-aab9-4fe6-99a2-34e9a03f4311.jpg', 'https://assets.pawnamerica.com/ProductImages//28995a71-0df1-40c4-9971-4dedf31b7cf8.jpg', 'https://assets.pawnamerica.com/ProductImages//669ca097-3890-4476-978b-7ddf2b44d44b.jpg', 'https://assets.pawnamerica.com/ProductImages//a6f7758c-f3e7-46dc-b4db-14079832a292.jpg', 'https://assets.pawnamerica.com/ProductImages//3e90b51b-2db1-4bb2-8d51-f571c6e4c96d.jpg', 'https://assets.pawnamerica.com/ProductImages//d65c8ad3-64fc-4053-bc8c-436c2921d568.jpg', 'https://assets.pawnamerica.com/ProductImages//fcd0080b-d249-49b9-9d54-6323accbf81c.jpg', 'https://assets.pawnamerica.com/ProductImages//99de0f65-7064-4507-a697-75ddf3d1346b.jpg', 'https://assets.pawnamerica.com/ProductImages//b2359d65-1f32-4f55-9b6f-2b13d67ad193.jpg', 'https://assets.pawnamerica.com/ProductImages//0c5fceaf-99fa-47bb-810d-c51886a3de93.jpg']"
Ibanez IBZ10G 10-Watt Combo Guitar Amplifier,$49.99,26023021274,Guitar Amplifiers,"['Brand:Ibanez', 'Amplifier Type:Combo', 'Number of Speakers:1', 'Number of Channels:1', 'Product Line:Amp', 'Suitable For:Electric Guitar', 'Amplifier Technology:Solid State', 'MPN:Does not apply', 'Model:Ibanez IBZ10G']","['https://assets.pawnamerica.com/ProductImages//f46c1f97-5c8e-4268-85a6-c88ecc6528c5.jpg', 'https://assets.pawnamerica.com/ProductImages//9647552b-fea2-49b2-a60f-24f476e55cf9.jpg', 'https://assets.pawnamerica.com/ProductImages//f4b0647b-dd12-4226-9ca6-ea200cead8d1.jpg', 'https://assets.pawnamerica.com/ProductImages//c8f71753-1ada-427a-a562-8203001c1f25.jpg', 'https://assets.pawnamerica.com/ProductImages//2a7966df-2f59-4e4b-a769-f41953a6381e.jpg', 'https://assets.pawnamerica.com/ProductImages//bf1001fe-99ba-41ce-9297-ef2bce6f78e8.jpg', 'https://assets.pawnamerica.com/ProductImages//5f486422-4e19-4782-9c49-0cd5e3a24875.jpg', 'https://assets.pawnamerica.com/ProductImages//eff92ddd-5e2c-4d72-9eba-e4a0963754a6.jpg']"
Fender American Professional II 4-String Right-Handed Bass Guitar,$1299.99,25426042958,Bass Guitars,"['Brand:Fender', 'Type:Bass Guitar', 'String Configuration:4-String', 'Handedness:Right-Handed', 'Body Color:Olympic White']","['https://assets.pawnamerica.com/ProductImages//8f888fcb-15f1-4e8a-b5c9-ba4fda254bde.JPG', 'https://assets.pawnamerica.com/ProductImages//d309bdbd-01a6-404a-b6f6-74ca66d86e1a.JPG', 'https://assets.pawnamerica.com/ProductImages//4a05e62a-9f58-484d-9327-2c03755d7e92.jpg', 'https://assets.pawnamerica.com/ProductImages//f2a35dd3-ca43-4a4b-8730-c26fb0d4b76c.jpg', 'https://assets.pawnamerica.com/ProductImages//158eff86-d09a-44b9-aed7-dbf8704ed606.jpg', 'https://assets.pawnamerica.com/ProductImages//fead9cd8-a09f-472e-a426-d7d2965403d7.jpg', 'https://assets.pawnamerica.com/ProductImages//55161562-5e64-4432-b6a4-3ac4426f13ad.jpg', 'https://assets.pawnamerica.com/ProductImages//a02c9a6f-f8f3-479b-bc84-b4529c4cc6cf.jpg', 'https://assets.pawnamerica.com/ProductImages//cd96e7a0-3a98-47ba-9c98-08c7653733d2.jpg', 'https://assets.pawnamerica.com/ProductImages//e27a2d00-0355-442c-9656-37ab1ff1546b.jpg', 'https://assets.pawnamerica.com/ProductImages//113cc88f-6820-438e-ac4e-956819dcaff8.jpg', 'https://assets.pawnamerica.com/ProductImages//fc36fc03-ebe4-48b9-abb8-9f76c74ac3f2.jpg', 'https://assets.pawnamerica.com/ProductImages//06a0ed25-df4d-4589-beea-60a3a704b352.jpg', 'https://assets.pawnamerica.com/ProductImages//59e17ff8-e07b-4a8e-aa4c-dc721b759693.jpg', 'https://assets.pawnamerica.com/ProductImages//94ad3f9e-3dff-47d0-8b96-b297058cf259.jpg']"
Acoustic B25C 25 W 1×8? C-Series 3 Band EQ Bass Combo Amplifier,$79.99,25123052544,Guitar Amplifiers,"['Brand:Acoustic', 'Amplifier Type:Combo Amplifier', 'Number of Speakers:1', 'Suitable For:Electric Guitar', 'MPN:Does Not Apply', 'Model:B25C', 'Venue Type:Practice']","['https://assets.pawnamerica.com/ProductImages//88c58200-b10a-469e-b8cd-42e6918bd25d.jpg', 'https://assets.pawnamerica.com/ProductImages//23fe6dcb-7134-4584-9778-48a359af795b.jpg', 'https://assets.pawnamerica.com/ProductImages//f7730cd9-035c-4598-b103-24e86367e65d.jpg', 'https://assets.pawnamerica.com/ProductImages//7a7b817f-b294-4012-abae-35ec6c74faa1.jpg', 'https://assets.pawnamerica.com/ProductImages//5e929ed0-0d1b-45ab-9f9a-6bd106f9292e.jpg', 'https://assets.pawnamerica.com/ProductImages//15738a26-59f4-4099-8378-b1990bd7b26a.jpg']"
VOX Cambridge50 50W Guitar Amplifier,$199.99,24222027815,Guitar Amplifiers,"['Brand:VOX', 'Amplifier Type:Guitar Amp', 'Number of Speakers:1', 'Power:50 W', 'Model:Campbridge50', 'Country/Region of Manufacture:Vietnam']","['https://assets.pawnamerica.com/ProductImages//bd22f807-5ac3-4f79-ae79-ad2bb0953f5b.jpg', 'https://assets.pawnamerica.com/ProductImages//384929a2-f961-4c54-a3ed-31196c4dd91b.jpg', 'https://assets.pawnamerica.com/ProductImages//35cfd0c0-5e3f-40b3-82d0-e19cfa0ee5b2.jpg', 'https://assets.pawnamerica.com/ProductImages//625332bb-ce93-4865-8144-f5f91577e982.jpg', 'https://assets.pawnamerica.com/ProductImages//bb121ef8-1067-45b2-904a-2857a4f7f410.jpg', 'https://assets.pawnamerica.com/ProductImages//95529d76-d4a6-4564-a2de-e37d6d40af23.jpg', 'https://assets.pawnamerica.com/ProductImages//c32b9ecc-5fba-480b-9ab6-841728e832fb.jpg', 'https://assets.pawnamerica.com/ProductImages//58618d4f-43d5-4f39-8f0f-85004c7c8a72.jpg']"
Magic Gold Right-Handed Four String Ukulele Banjo,$199.99,24221016941,Ukuleles,"['Brand:Magic Gold', 'Instrument:Ukulele', 'Type:Ukulele Banjo', 'Number of Strings:4', 'Set Includes:Gig Bag', 'Handedness:Right Handed', 'Color:Multicolor', 'Country/Region of Manufacture:China']","['https://assets.pawnamerica.com/ProductImages//6cdeaec7-0c6e-42f7-ba9e-6f3af086cc93.jpg', 'https://assets.pawnamerica.com/ProductImages//b05585d1-3a26-4729-9f22-6fe1e10efade.jpg', 'https://assets.pawnamerica.com/ProductImages//2deab45b-9f83-480d-96c4-269c9c37ed48.jpg', 'https://assets.pawnamerica.com/ProductImages//198e2494-6199-4c12-8787-c6f66912989b.jpg', 'https://assets.pawnamerica.com/ProductImages//04b94b8d-40c7-4d35-a6d9-e1f459528a55.jpg', 'https://assets.pawnamerica.com/ProductImages//903263d3-e2e6-48f8-b344-a00b345525ee.jpg', 'https://assets.pawnamerica.com/ProductImages//22252b3a-431d-4e76-a5bc-92fc06a7d5c5.jpg', 'https://assets.pawnamerica.com/ProductImages//bc67281d-8bd6-4f41-9775-913884098223.jpg', 'https://assets.pawnamerica.com/ProductImages//68c5af24-994a-4909-8788-c59cb36e1d6c.jpg', 'https://assets.pawnamerica.com/ProductImages//1849474f-55e4-4794-bd67-972c6ef5273b.jpg', 'https://assets.pawnamerica.com/ProductImages//097dd45e-5c9e-4f53-a3b1-c085ab049c0b.jpg']"
