name,price,item_id,category,description,image_url
Tactacam 5.0 Hunting Action Camera Kit,$199.99- $139.95,23722036811,Game & Trail Cameras,"['Brand:Tactacam', 'Type:Hunting Action Camera', 'Sport/Activity:Hunting', 'Features:Adjustable', 'Power Source:Rechargeable Battery', 'Color:Black', 'MPN:N/A', 'Model:Tactacam 5.0']","['https://assets.pawnamerica.com/ProductImages//a6786a0a-a504-4267-b848-64a858757d03.jpg', 'https://assets.pawnamerica.com/ProductImages//c33ca939-a9f2-42de-9781-de69ca1079dc.jpg', 'https://assets.pawnamerica.com/ProductImages//4b7ab62c-bf32-4cf8-a5cb-90c110cc22df.jpg', 'https://assets.pawnamerica.com/ProductImages//44674a56-f736-4c7f-b97e-f6842ce555da.jpg', 'https://assets.pawnamerica.com/ProductImages//865a2509-dcc0-4422-83a8-087cff636095.jpg', 'https://assets.pawnamerica.com/ProductImages//d831152a-c554-4283-a13e-c9d0b9c4cdbc.jpg']"
MarCum Technologies Black & Red M3L Sonar Flasher 4402,$199.99,23622037431,Fishfinders,"['Brand:MarCum Technologies', 'Type:Sonar', 'Sport/Activity:Fishing', 'Color:Red & Black', 'Model:M3L']","['https://assets.pawnamerica.com/ProductImages//e0dd8fa4-4f51-4064-87c5-5855226171b5.JPG', 'https://assets.pawnamerica.com/ProductImages//058f1444-647a-48e7-8a14-799be5d4fbfc.JPG', 'https://assets.pawnamerica.com/ProductImages//188a2510-b007-4e18-a003-dc7719ccd84e.JPG', 'https://assets.pawnamerica.com/ProductImages//623a040b-a4b9-4197-8ca8-637e36868056.JPG', 'https://assets.pawnamerica.com/ProductImages//d5fd56b3-bb17-43d9-a491-1ab08ff0107b.JPG', 'https://assets.pawnamerica.com/ProductImages//efe30522-6496-4be1-a3b7-33cc43db80f2.JPG', 'https://assets.pawnamerica.com/ProductImages//4b95b659-19dc-462c-8778-99e0978c3218.JPG', 'https://assets.pawnamerica.com/ProductImages//20306717-0149-4af7-83fc-e28cec53b088.JPG', 'https://assets.pawnamerica.com/ProductImages//1f9762f0-ed18-4df1-a4b6-026f62a966d5.JPG', 'https://assets.pawnamerica.com/ProductImages//ed61d53a-b735-45b7-8b2c-c9851ef7a3fe.JPG', 'https://assets.pawnamerica.com/ProductImages//c161f125-d75e-4cd2-8b80-f63913d72827.JPG', 'https://assets.pawnamerica.com/ProductImages//d67adeef-6e28-4ff9-a87c-519db2091952.JPG', 'https://assets.pawnamerica.com/ProductImages//5c367be4-58bf-42e6-904d-468ca4fcf740.JPG', 'https://assets.pawnamerica.com/ProductImages//8ae53792-88c8-417f-8175-682585dd72b9.JPG', 'https://assets.pawnamerica.com/ProductImages//6a7820f4-968b-476e-82b5-bebd6bf644e9.JPG', 'https://assets.pawnamerica.com/ProductImages//7ce0456f-0e50-4185-b1d5-2e7e75d498db.JPG', 'https://assets.pawnamerica.com/ProductImages//0ba07b0e-0bf5-44a7-aa26-a8131923ad50.JPG']"
SWISSTECH Zuverlässig 6500 LM Waterproof 3-Light Mode Lithium-Ion Flashlight,$49.99,23623048067,Flashlights,"['Brand:SWISSTECH', 'Type:Flashlight', 'Lighting Technology:LED', 'Power Source:Battery', 'Battery Technology:Lithium Ion', 'Color:Green & Gray', 'Battery Included:Yes', 'Number of Lights:1-3', 'Lumens:6500', 'Model:Zuverlässig 6500']","['https://assets.pawnamerica.com/ProductImages//f93b5546-678b-46d4-9541-7edd4808551e.JPG', 'https://assets.pawnamerica.com/ProductImages//e1c8422a-862c-4131-bf09-a7d7c1b27560.JPG', 'https://assets.pawnamerica.com/ProductImages//b1a9199a-bdf8-4d4d-ac84-3c08f27e63bb.JPG', 'https://assets.pawnamerica.com/ProductImages//e5b91169-a9b9-4989-a91d-aeed63c35145.JPG', 'https://assets.pawnamerica.com/ProductImages//3b60db1c-7bec-465f-83e6-09421f7cf8b9.JPG', 'https://assets.pawnamerica.com/ProductImages//14704956-cb86-4439-8d24-09cfd897832b.JPG', 'https://assets.pawnamerica.com/ProductImages//0fa90f1d-ce61-4476-b44e-7925a444a1e5.JPG', 'https://assets.pawnamerica.com/ProductImages//ff577d8e-6b0a-4f4c-8f9e-d57c4a9818fb.JPG', 'https://assets.pawnamerica.com/ProductImages//609ca9ea-adf1-4ec2-87e5-da070a6759a5.JPG', 'https://assets.pawnamerica.com/ProductImages//e526d684-b657-476d-9b24-a9710540df11.JPG', 'https://assets.pawnamerica.com/ProductImages//ae404ef1-c032-4165-b604-dc4e02597679.JPG', 'https://assets.pawnamerica.com/ProductImages//a3347480-6f56-457e-a314-c1339101e196.JPG', 'https://assets.pawnamerica.com/ProductImages//22cbb57e-4247-4383-b353-fb89c72c475c.JPG', 'https://assets.pawnamerica.com/ProductImages//7b35ea9b-7bc8-4118-ab16-da4a54f2ddfd.JPG']"
Barnett XP 405 190 lbs Draw Weight 410 FPS TriggerTech Hunting Compound Crossbow,$349.99,25121046786,Crossbows,"['Type:Compound Crossbow', 'Brand:Barnett', 'Color:Camo', 'Features:TriggerTech', 'Draw Weight:190 lbs.', 'MPN:Does Not Apply', 'Speed:410 FPS', 'Sport/Activity:Hunting', 'Manufacturer Warranty:None', 'Model:XP 405']","['https://assets.pawnamerica.com/ProductImages//154a68ef-114e-4361-a3ba-eb043946337c.jpg', 'https://assets.pawnamerica.com/ProductImages//bd2339c1-1581-41cc-9749-81a3264efedd.jpg', 'https://assets.pawnamerica.com/ProductImages//95e6a505-58e5-4f7d-ac04-911fc2db474b.jpg', 'https://assets.pawnamerica.com/ProductImages//ee232b6b-28bc-4fb0-88aa-93ffff96c2f6.jpg', 'https://assets.pawnamerica.com/ProductImages//d94e2e4b-7c1f-4f88-a22f-03dae7ecdcb3.jpg', 'https://assets.pawnamerica.com/ProductImages//68dcef60-70df-4805-a052-fe01889176bd.jpg', 'https://assets.pawnamerica.com/ProductImages//3b127d2d-560d-4328-bd2a-5c12b3449e40.jpg']"
13 Fishing Black Betty Reel Left-Handed Ice Fishing Rod,$49.99- $34.99,24322048936,Reels,"['Brand:13 Fishing', 'Hand Retrieve:Left Hand', 'Model:Black Betty', 'Color:Black']","['https://assets.pawnamerica.com/ProductImages//37b0a906-d89d-4910-aaf3-61fa7cb61aa9.JPG', 'https://assets.pawnamerica.com/ProductImages//59b7fb95-a2b0-439b-90f6-8e5ebcd7ca24.JPG', 'https://assets.pawnamerica.com/ProductImages//c4575897-df7e-4601-899e-f68eb7a42793.JPG', 'https://assets.pawnamerica.com/ProductImages//cd820a68-2860-4273-b1b3-71bb4d52c00d.JPG', 'https://assets.pawnamerica.com/ProductImages//545bade5-58f7-4cf8-83a9-e0df848ae57e.JPG', 'https://assets.pawnamerica.com/ProductImages//b898ea81-94c1-4d92-8ece-f470fdfb90fa.JPG', 'https://assets.pawnamerica.com/ProductImages//99e6c3f9-4131-45b7-847c-297297920bff.JPG', 'https://assets.pawnamerica.com/ProductImages//6ab0d765-5f8c-4999-bc65-1db892ebf5cb.JPG']"
Trijicon RCR1-C Multi-Platform 3.25 MOA Reflex Red Dot Sight,$519.99,25121047659,Red Dot & Laser,"['Type:Reflex Red Dot Sight', 'Brand:Trijicon', 'Reticle Color:Red', 'Color:Black', 'Maximum Magnification:1x', 'Reticle Type:3.25 MOA', 'Model:RCR1-C', 'MPN:Does Not Apply', 'Power Source:Battery', 'Manufacturer Warranty:None']","['https://assets.pawnamerica.com/ProductImages//6556b01b-6ab5-426b-9494-e90304673947.jpg', 'https://assets.pawnamerica.com/ProductImages//dbc5d791-0307-474c-94c8-0a6638693e29.jpg', 'https://assets.pawnamerica.com/ProductImages//1acd75fe-87fb-456f-b6e6-a248c71fbd00.jpg', 'https://assets.pawnamerica.com/ProductImages//a498d256-883a-4a95-ae54-a14f6f5aa82f.jpg', 'https://assets.pawnamerica.com/ProductImages//ff8bca56-7a15-472a-a614-eb91aaeff734.jpg']"
Vexilar FL-8SE GP0819 Genz Pack Ice Fishing Sonar Depthfinder,$219.99,24521056503,Fishfinders,"['Brand:Vexilar', 'Type:System with Transducer', 'Sensors:Sonar', 'Sport/Activity:Fishing', 'Material:Plastic', 'Maximum Depth:120 ft', 'Power Source:Battery', 'Indoor/Outdoor:Indoor/Outdoor', 'Color:Black', 'MPN:GP0819', 'Model:Vexilar FL-8SE']","['https://assets.pawnamerica.com/ProductImages//40b60eee-8a36-4fdd-94fc-2a9ceb2058df.JPG', 'https://assets.pawnamerica.com/ProductImages//4f305931-67e3-44d8-b81a-a97eb0d8220a.JPG', 'https://assets.pawnamerica.com/ProductImages//6acd5477-b083-413c-bd9c-4b27ccec9354.JPG', 'https://assets.pawnamerica.com/ProductImages//e16d0581-f351-4fb2-a8b8-f66110c59819.JPG', 'https://assets.pawnamerica.com/ProductImages//dd33061f-f05f-4148-b8e6-81ab62ea3200.JPG', 'https://assets.pawnamerica.com/ProductImages//9bfec6be-ef87-4fea-8432-d8f5877e93c5.JPG', 'https://assets.pawnamerica.com/ProductImages//1af68239-def7-47bf-9554-15cff3d3510f.JPG', 'https://assets.pawnamerica.com/ProductImages//b99366a7-9099-4fa3-a494-a5433a831a70.JPG']"
Halo Optics XR700 6x Rangefinder - Black/Gray,$59.99,24323030354,Range Finders,"['Brand:Halo Optics', 'Type:Rangefinder', 'Color:Gray', 'Magnification:6x', 'MPN:XR700', 'Model:XR700']","['https://assets.pawnamerica.com/ProductImages//ec5be30a-83ee-4bfd-80c8-174149e2a66d.JPG', 'https://assets.pawnamerica.com/ProductImages//a84cd6ce-56f9-4c75-9522-f2e75eb2ba64.JPG', 'https://assets.pawnamerica.com/ProductImages//115cdc5a-fdf2-46fb-89dc-034c147238bb.JPG', 'https://assets.pawnamerica.com/ProductImages//1effb8a2-c5b0-40e9-b8c3-406089be8973.JPG', 'https://assets.pawnamerica.com/ProductImages//03c7dbc2-0959-4dc8-9824-5885d811233d.JPG', 'https://assets.pawnamerica.com/ProductImages//36676707-37f9-4e90-9511-c9a7d58c68e8.JPG', 'https://assets.pawnamerica.com/ProductImages//33998354-0c44-4442-8bfd-65c6c276f4c0.JPG', 'https://assets.pawnamerica.com/ProductImages//8f33118c-efa8-4a33-8b37-3e15a9a9ee3e.JPG', 'https://assets.pawnamerica.com/ProductImages//030f555a-68da-4074-8823-51e55345d9d7.JPG', 'https://assets.pawnamerica.com/ProductImages//a6ec2ac3-e7fa-464e-886c-69613c1c259d.JPG', 'https://assets.pawnamerica.com/ProductImages//a01f2773-7c83-48a2-877c-66c5fba30a6c.JPG']"
Streamlight Stinger LED Rechargeable Flashlight,$79.99,24223022690,Flashlights,"['Brand:Streamlight', 'Type:Flashlight', 'Lighting Technology:LED', 'Power Source:Rechargeable Battery', 'Color:Black', 'Number of Lights:1-3', 'Model:Stinger']","['https://assets.pawnamerica.com/ProductImages//787b5801-4125-4c24-81ac-9bfeaf39a71d.jpg', 'https://assets.pawnamerica.com/ProductImages//52d961da-c558-4e72-9de4-3d16f893730f.jpg', 'https://assets.pawnamerica.com/ProductImages//f1862b9d-08a0-43fb-ab66-48a8630cf14e.jpg', 'https://assets.pawnamerica.com/ProductImages//b0d8f422-cea4-4808-851c-8bc36ec00ee6.jpg', 'https://assets.pawnamerica.com/ProductImages//79404936-340e-41b6-a3c8-e3d1c057fba0.jpg', 'https://assets.pawnamerica.com/ProductImages//b02e1bb5-f28b-4310-a1b6-4b5c0e4b2758.jpg', 'https://assets.pawnamerica.com/ProductImages//8e60a41f-f361-4604-b0fe-6c42f7f57978.jpg', 'https://assets.pawnamerica.com/ProductImages//eb216525-626f-4c3c-85c9-9e87318b2a59.jpg']"
"Darton Titan XT Right-Handed Compound Bow 50 Lbs 26""",$119.99,23823029542,Compound,"['Brand:Darton', 'Dexterity:Right Hand', 'Draw Weight (lbs.):50lbs.', 'Archery Type:Compound', 'Model:Titan XT', 'Draw Length (in.):26in.', 'Color:Camouflage']","['https://assets.pawnamerica.com/ProductImages//ad671ac4-9835-4f3a-83af-9701a02c426f.jpg', 'https://assets.pawnamerica.com/ProductImages//639e6d47-91f6-47dc-80eb-34911989d5f3.jpg', 'https://assets.pawnamerica.com/ProductImages//a3530729-02fd-4419-bdf1-25189e586d6a.jpg', 'https://assets.pawnamerica.com/ProductImages//6cc061ed-de64-4755-9ab1-2b3c1b3b9050.jpg', 'https://assets.pawnamerica.com/ProductImages//00cc7b1a-ba44-46cf-8f75-b8c904cae70b.jpg', 'https://assets.pawnamerica.com/ProductImages//c13b8c92-c152-4417-8d5d-a34d565cbf39.jpg', 'https://assets.pawnamerica.com/ProductImages//4688a3b3-56e9-412d-af38-ad52992d9ae0.jpg', 'https://assets.pawnamerica.com/ProductImages//052e67a8-04f4-434e-92d0-a61563adb391.jpg', 'https://assets.pawnamerica.com/ProductImages//405c6e58-73aa-4c0c-8a6f-3f17bf692328.jpg', 'https://assets.pawnamerica.com/ProductImages//3eb7a726-fc46-485b-a56e-d467bcfc38cd.jpg']"
