name,price,item_id,category,description,image_url
Nintendo Pokémon Legends: Arceus Switch Video Game,$39.99,24223022706,Video Games,"['Game Name:Pokémon Legends: Arceus', 'Platform:Nintendo Switch', 'Publisher:Nintendo', 'Genre:Action/adventure', 'Rating:Everyone', 'Region Code:NTSC-U/C (US/Canada)', 'Release Year:2022', 'MPN:LA-H-AW7KA-USA', 'Features:Users Interact / In-game Purchases', 'Country/Region of Manufacture:Japan', 'California Prop 65 Warning:Cancer And Reproductive Harm - P65warnings.ca.gov', 'Manufacturer Warranty:This Product Is Covered By Nintendos Limited Warranty.']","['https://assets.pawnamerica.com/ProductImages//2ebd825f-6e9d-42ae-b210-4afd2415bf81.jpg', 'https://assets.pawnamerica.com/ProductImages//fac7cfc5-badd-4394-a2d9-9fcf23db3e43.jpg', 'https://assets.pawnamerica.com/ProductImages//509ff070-ccbb-4eca-b8c8-0f2e746ef225.jpg', 'https://assets.pawnamerica.com/ProductImages//fd174195-5f09-40c5-8e4e-eda394238c7b.jpg', 'https://assets.pawnamerica.com/ProductImages//71a86f8c-3cef-4c05-859d-a32f2413e56e.jpg', 'https://assets.pawnamerica.com/ProductImages//a7147e0b-8b47-4e56-ae58-24d9703db943.jpg']"
Xenoblade Chronicles: Definitive Edition Video Game for the Nintendo Switch,$39.99,25151001376,Video Games,"['Game Name:Xenoblade Chronicles: Definitive Edition', 'Platform:Nintendo Switch', 'Publisher:Nintendo', 'Genre:Action RPG', 'Rating:T-Teen', 'Region Code:NTSC-U/C (US/Canada)', 'Release Year:2020', 'MPN:Does Not Apply']","['https://assets.pawnamerica.com/ProductImages//25ce9afd-98ed-47a0-82d1-de1a64a4bc02.jpg', 'https://assets.pawnamerica.com/ProductImages//9526380c-a41b-4f06-a600-717277946c76.jpg', 'https://assets.pawnamerica.com/ProductImages//29c62530-932e-4209-b357-9ba3d9f200d2.jpg', 'https://assets.pawnamerica.com/ProductImages//a9f9e3ad-8144-47ff-99fd-0116079f7d2b.jpg']"
Mario Kart Wii Video Game for the Nintendo Wii,$34.99,25151001368,Video Games,"['Game Name:Mario Kart Wii', 'Platform:Nintendo Wii', 'Publisher:Nintendo', 'Genre:Racing', 'Rating:E-Everyone', 'Region Code:NTSC-U/C (US/Canada)', 'Release Year:2008', 'MPN:RVLRMCEUSA', 'Sub-Genre:Car Racing']","['https://assets.pawnamerica.com/ProductImages//32d2fbb2-337a-4b51-a02c-d2e67b71979e.jpg', 'https://assets.pawnamerica.com/ProductImages//f4653cc5-2f5d-44fb-8637-e8b238c89e0e.jpg', 'https://assets.pawnamerica.com/ProductImages//227a9ad3-cf4f-4a74-832d-8c8ea816a509.jpg']"
Nintendo Switch HAC-001(-01) 32GB Video Game Console - 9918,$169.99,24323029918,Video Game Consoles,"['Brand:Nintendo', 'Model:HAC-001(-01)', 'Platform:Switch', 'Region Code:NTSC', 'Color:Black', 'Type:Home Console', 'Storage Capacity:32GB', 'Connectivity:HDMI', 'MPN:HAC-001(-01)']","['https://assets.pawnamerica.com/ProductImages//0e66be7a-7dd9-4907-a765-c0cbc07909f6.JPG', 'https://assets.pawnamerica.com/ProductImages//a97cd6e1-da43-4b81-8407-0609bf74b2b7.JPG', 'https://assets.pawnamerica.com/ProductImages//15b9dc76-fb25-41ad-93cf-3651d56229de.JPG', 'https://assets.pawnamerica.com/ProductImages//ba3d7501-38c6-478b-86d5-88b8ec803c52.JPG', 'https://assets.pawnamerica.com/ProductImages//39ac0fd6-1844-4aad-97b7-ddb2db915570.JPG', 'https://assets.pawnamerica.com/ProductImages//ced337a5-dad2-4351-a9d6-5313352f072d.JPG', 'https://assets.pawnamerica.com/ProductImages//08848017-8688-4755-b94e-bab9e7a4984f.JPG', 'https://assets.pawnamerica.com/ProductImages//240a2048-b7bb-434e-a034-5f44e66bc5fa.JPG', 'https://assets.pawnamerica.com/ProductImages//8c7d4a6d-3e3b-414b-a52c-0b0ad5144aea.JPG', 'https://assets.pawnamerica.com/ProductImages//690b8ccd-3c7c-4341-a025-74cf8e3935b7.JPG', 'https://assets.pawnamerica.com/ProductImages//b34175b2-3cf2-4215-bb7f-1cbd53eac5e1.JPG', 'https://assets.pawnamerica.com/ProductImages//fc22167f-57dd-47f2-93c9-79d2225e1d71.JPG', 'https://assets.pawnamerica.com/ProductImages//8c277b91-623f-44ac-ba10-fc49cd7f6914.JPG', 'https://assets.pawnamerica.com/ProductImages//7979a4df-488e-4e0b-a6df-eb19960c1354.JPG', 'https://assets.pawnamerica.com/ProductImages//4139a63c-b3bc-4a04-9466-76fcfec1869a.JPG', 'https://assets.pawnamerica.com/ProductImages//d4b9b453-1814-48df-89a7-a74536d43af8.JPG']"
Sony PlayStation 4 Slim 1TB CUH-2215B Game Console 7795,$129.99,24222027795,Video Game Consoles,"['Brand:Sony', 'Model:CUH-2215B', 'Platform:Sony Playstation 4', 'Region Code:US', 'Color:Black', 'Type:Game Console', 'Storage Capacity:1TB', 'Connectivity:HDMI - Wi-Fi', 'Resolution:1080p']","['https://assets.pawnamerica.com/ProductImages//3dc75c3d-fc1e-42e7-8ad6-c53706599df3.jpg', 'https://assets.pawnamerica.com/ProductImages//80fd27e5-e455-4d0f-85f1-12ad894ed142.jpg', 'https://assets.pawnamerica.com/ProductImages//142e8657-7787-4499-a068-fc3d241626f7.jpg', 'https://assets.pawnamerica.com/ProductImages//37bb1132-a88f-401c-97ee-5c073e7515ab.jpg', 'https://assets.pawnamerica.com/ProductImages//b6ce9099-a9f9-4f28-bc6c-26840ded08f0.jpg', 'https://assets.pawnamerica.com/ProductImages//96b058e7-b178-487a-9dda-8f41778feaa6.jpg', 'https://assets.pawnamerica.com/ProductImages//6e3c1162-5a99-4bc5-9659-c57198a99479.jpg', 'https://assets.pawnamerica.com/ProductImages//45a799dc-de8c-4531-abf6-6b6547d23d50.jpg', 'https://assets.pawnamerica.com/ProductImages//fb058bd1-ee5f-4a96-9520-a66bd614576b.jpg']"
Sony PlayStation 4 Pro CUH-7115B 1TB Video Gaming Console 5641,$169.99,23422055641,Video Game Consoles,"['Category:Video Games & Consoles > Video Game Consoles', 'Brand:Sony', 'Model:CUH-7115B', 'Platform:Playstation 4 Pro', 'Color:Black', 'Type:Video Game Console', 'Storage Capacity:1TB', 'Connectivity:HDMI, USB, Wi-Fi, LAN', 'MPN:CUH-7115B', 'Country/Region of Manufacture:China', 'Resolution:4K']","['https://assets.pawnamerica.com/ProductImages//ca10fe26-5a57-4ca4-bbe6-78af2b676568.jpg', 'https://assets.pawnamerica.com/ProductImages//c51870a7-e019-4821-a2c9-9dfb89ed7f9d.jpg', 'https://assets.pawnamerica.com/ProductImages//e820f8b0-588a-4be3-96ed-de6c938d7c6f.jpg', 'https://assets.pawnamerica.com/ProductImages//303af652-43f1-4f0d-a906-4e8dac732394.jpg', 'https://assets.pawnamerica.com/ProductImages//468dd2a2-1857-4cdd-ba69-a39d72a3c248.jpg', 'https://assets.pawnamerica.com/ProductImages//f4ef645a-4ad9-4eaf-91cb-1f32bb903f01.jpg', 'https://assets.pawnamerica.com/ProductImages//23508342-de95-4923-9ab2-851d2f0d75b8.jpg', 'https://assets.pawnamerica.com/ProductImages//9089e02b-fbef-48d2-92ae-55ac7292fca3.jpg', 'https://assets.pawnamerica.com/ProductImages//eea0098f-5d8e-4ab3-a9fa-95cd7a5d7e89.jpg', 'https://assets.pawnamerica.com/ProductImages//040c4ed1-6875-4489-a96d-a7efae795e49.jpg', 'https://assets.pawnamerica.com/ProductImages//bc066efc-7aca-42eb-8007-8bd189ddcb37.jpg', 'https://assets.pawnamerica.com/ProductImages//79906af2-7b5d-4ac7-94f6-81bc18a864ce.jpg', 'https://assets.pawnamerica.com/ProductImages//d6d44582-dbc8-4fa0-a9b4-57a4f0387eaf.jpg']"
Sony CFI-1215A PlayStation 5 Disc Edition 825GB Video Game Console 0837,$369.99,23524040837,Video Game Consoles,"['Brand:Sony', 'Model:PlayStation 5 Disc', 'Platform:Playstation 5', 'Region Code:US', 'Color:Black And White', 'Storage Capacity:825GB', 'Connectivity:HDMI', 'Year Manufactured:2019', 'MPN:CFI-1215A', 'Features:Disc Version - With Dualsense Controller', 'Resolution:4K']","['https://assets.pawnamerica.com/ProductImages//892a3d2d-32f9-4572-814a-dbecc4439e02.jpg', 'https://assets.pawnamerica.com/ProductImages//1191723c-f77c-4544-81c0-03522d491095.jpg', 'https://assets.pawnamerica.com/ProductImages//f7076f28-354e-46b8-b4db-c0a99880013b.jpg', 'https://assets.pawnamerica.com/ProductImages//665932d6-fe9c-44d2-99da-bf951bf93e4e.jpg', 'https://assets.pawnamerica.com/ProductImages//5a3c967c-923c-42d5-a91f-02843f9d90f7.jpg', 'https://assets.pawnamerica.com/ProductImages//fb6e13f0-486b-4c30-a811-826fc19d1389.jpg', 'https://assets.pawnamerica.com/ProductImages//dafb9638-467e-4837-bd52-5c69c97095d8.jpg', 'https://assets.pawnamerica.com/ProductImages//a1fed348-68d3-4881-b8eb-c5cd954756d8.jpg', 'https://assets.pawnamerica.com/ProductImages//7b6799a8-41d5-492f-81ec-507c1f32ebad.jpg', 'https://assets.pawnamerica.com/ProductImages//3257d835-7fa8-48e7-92e4-0828463d3d2f.jpg', 'https://assets.pawnamerica.com/ProductImages//b18b208c-26f8-4a39-bc86-806c24af3dd6.jpg', 'https://assets.pawnamerica.com/ProductImages//a03a1967-ef40-4483-bde6-0380f06f4116.jpg']"
Sony CFI-ZWH1 Pulse 3D Wireless PlayStation 5 Headset - Midnight Black 4960,$69.99,23523034960,Headsets,"['Brand:Sony', 'Model:PULSE 3D', 'Color:Midnight Black', 'Connectivity:Dongle', 'Type:Wireless Headset', 'Wireless Technology:Dongle', 'MPN:CFI-ZWH1']","['https://assets.pawnamerica.com/ProductImages//b9d52aca-59b6-4c94-b77f-384f7abe1b01.jpg', 'https://assets.pawnamerica.com/ProductImages//1a681043-6084-47c6-a4b7-e0d781e878ca.jpg', 'https://assets.pawnamerica.com/ProductImages//62abc1a4-9eaa-4b1e-8b2f-fc42433f72a7.jpg', 'https://assets.pawnamerica.com/ProductImages//c934aef3-9656-4ba5-9efe-62dd3e2965ff.jpg', 'https://assets.pawnamerica.com/ProductImages//73b13034-1f35-40b0-a915-e237f85236c7.jpg', 'https://assets.pawnamerica.com/ProductImages//b6fc08c7-08fc-4318-a96b-f63f29664fdb.jpg', 'https://assets.pawnamerica.com/ProductImages//e76b512d-39e3-4afc-9602-bcddf06acd35.jpg', 'https://assets.pawnamerica.com/ProductImages//7270643d-db1d-47fc-9dd1-aefa2c751b2b.jpg', 'https://assets.pawnamerica.com/ProductImages//ad73d90c-ee60-4edd-9b33-65bda43ff6b2.jpg', 'https://assets.pawnamerica.com/ProductImages//8f286dc4-4a7b-404f-b367-d723a82e5ecc.jpg']"
Microsoft Xbox One Model 1540 500GB Video Game Console 7323,$79.99,24222027323,Video Game Consoles,"['Brand:Microsoft', 'Model:1540', 'Platform:Xbox One', 'Region Code:US', 'Color:Black', 'Type:Console', 'Storage Capacity:500GB', 'Connectivity:HDMI - Wi-Fi', 'Resolution:1080p']","['https://assets.pawnamerica.com/ProductImages//cb0383a7-932e-4f1b-9bc4-2883474bd666.jpg', 'https://assets.pawnamerica.com/ProductImages//0584e3d7-f792-4a33-9e2b-8e0280540d05.jpg', 'https://assets.pawnamerica.com/ProductImages//6b31681e-acb8-4026-a499-91aa9f7f2ddd.jpg', 'https://assets.pawnamerica.com/ProductImages//e5a8d27a-a56e-4c52-b73a-f3841de7b42a.jpg', 'https://assets.pawnamerica.com/ProductImages//00a440bd-2bd1-4cd0-9c8c-424c2a604366.jpg', 'https://assets.pawnamerica.com/ProductImages//e31f340c-0b22-411c-ad6b-f303aee2af27.jpg', 'https://assets.pawnamerica.com/ProductImages//8bb4a7e7-aaa9-47a8-89d5-2abe889856e6.jpg', 'https://assets.pawnamerica.com/ProductImages//8edae3e5-585a-49b4-aa01-90a82a0edac1.jpg', 'https://assets.pawnamerica.com/ProductImages//0d491aa7-3311-49e6-a9ef-d33f858b4b11.jpg', 'https://assets.pawnamerica.com/ProductImages//4d3ae49d-f807-47ab-9418-dadaabfe7358.jpg']"
Zelda: Skyward Sword HD Video Game for the Nintendo Switch,$29.99,25151001375,Video Games,"['Game Name:The Legend of Zelda: Skyward Sword HD', 'Platform:Nintendo Switch', 'Publisher:Nintendo Games', 'Rating:E-Everyone', 'Release Year:2021', 'MPN:Does Not Apply']","['https://assets.pawnamerica.com/ProductImages//a164f2cb-2c33-45a3-a505-ca415e8c3719.jpg', 'https://assets.pawnamerica.com/ProductImages//8fe26b69-f006-434e-8712-019f209b0b9d.jpg', 'https://assets.pawnamerica.com/ProductImages//30cdb6e5-9219-4bda-b214-1fcbc8b18d0b.jpg', 'https://assets.pawnamerica.com/ProductImages//95a461a4-1c86-4377-ae4e-3ed7f50d45b8.jpg']"
